name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level,source_file
Scratch Teacher Accounts,Free teacher accounts for classroom management. Create and manage student accounts. Monitor student projects and progress. Provide feedback on student work. Organize class studios for collaboration. Schedule and manage assignments. Privacy controls for student safety. Simplified registration for students. Essential tool for classroom use.,https://scratch.mit.edu/educators/register,MIT Scratch,Classroom Management,Computer Science Education,K-12,Free,Online,Academic year,,High,Rolling,,False,False,,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer,scratch_programming
SeaPerch Teacher Professional Development,Free training workshops for educators teaching SeaPerch. Learn to build ROVs and implement curriculum. Receive teaching materials and support resources. Hands-on training in robotics and marine science. Network with experienced SeaPerch teachers. Earn professional development credits. Held at universities and naval facilities nationwide. Some workshops provide free starter kits to teachers.,https://www.seaperch.org/,SeaPerch/Office of Naval Research,Professional Development,"Engineering Education, Robotics",6-12,Free,Regional,1-3 days,,High,Seasonal,,True,False,Equipment,Free,True,True,True,High,True,True,Basic,National,Optional,True,Adult,seaperch_programs
SeaPerch Elementary Curriculum,"Age-appropriate underwater robotics program for elementary students (grades 3-5). Simplified ROV design with teacher assistance. Focus on basic engineering concepts and teamwork. Introduction to buoyancy, circuits, and problem-solving. Preparation for middle school SeaPerch. No competitions required - can participate in exhibitions. Lower cost simplified kits available. Great for after-school programs.",https://www.seaperch.org/,SeaPerch/Office of Naval Research,Elementary Program,"Engineering, Marine Science",3-5,250,School-based,6-8 weeks,,High,Rolling,Medium,True,False,Equipment,$100-500,True,True,True,High,True,False,Basic,National,Optional,True,Adult,seaperch_programs
Math for America (MfA) Fellowship Program,"Multi-year fellowship program supporting exceptional mathematics and science teachers in public schools. While primarily for teachers, MfA partners with schools that create strong STEM learning environments. Participating schools offer high-quality math and science instruction, professional development, and teacher collaboration. Indirect benefit to students through improved teaching.",https://www.simonsfoundation.org/,Simons Foundation,Math/Science Program,"Mathematics, Science Education",9-12,Free,School-based (select cities),School year (indirect benefit),,High,N/A (teacher program with student benefit),,,,,Free,"Urban public schools, diverse communities",True,True,High,False,False,Basic,"Regional (NYC, LA, Boston, DC, Bay Area)",,True,Adult,simons_foundation_programs
Simons Society of Fellows Junior Fellows Program,"Prestigious postdoctoral fellowship for exceptional early-career researchers in theoretical sciences. While aimed at PhD graduates, creates research ecosystem where advanced undergraduates may participate in seminars, colloquia, and research discussions. Fellows conduct independent research at partner universities. Promotes cross-disciplinary collaboration and theoretical science.",https://www.simonsfoundation.org/,Simons Foundation,Research Program,"Mathematics, Physics, Computer Science, Quantitative Biology",College,Free,Research universities,Ongoing seminars and lectures,High,High,N/A (postdoc program with potential undergraduate access),,,,,Free,Scientific excellence and innovation,True,Limited,High,False,True,Basic,National,,True,Professional,simons_foundation_programs
Simons Collaboration Public Lectures and Workshops,"Large-scale research collaborations in mathematics and theoretical physics that host public lectures, workshops, and educational events. High school and college students can attend public seminars, summer schools, and workshops on cutting-edge topics in mathematics, physics, and computer science. Free educational opportunities to learn from leading researchers.",https://www.simonsfoundation.org/mathematics-physical-sciences/,Simons Foundation,Math/Science Program,"Mathematics, Physics, Computer Science","11-12, College",Free,Universities and online,Individual events (1-7 days),Medium,Low,Event registration deadlines,,Events are free,,Low,Free,Open access to scientific knowledge,True,Limited,High,True,Varies,High-speed-required,National,,True,Professional,simons_foundation_programs
Simons Foundation Science Education Resources,"Online educational content including articles, videos, and interactive materials about mathematics, physics, life sciences, and computational science. Free access to high-quality science communication targeting students and educators. Resources explain cutting-edge research in accessible ways. Includes Quanta Magazine articles, research highlights, and educational animations.",https://www.simonsfoundation.org/,Simons Foundation,Math/Science Program,"Mathematics, Physics, Biology, Computer Science","9-12, College",Free,Online,Self-paced learning,Basic,Low,Available year-round,,,,,Free,Free access to scientific knowledge,True,True,High,True,False,High-speed-required,International,,False,,simons_foundation_programs
Simons Foundation Mathematics Programs at Partner Institutions,"Foundation funds mathematics departments and research centers that offer undergraduate research opportunities, summer programs, and mentorship. Partner institutions include major research universities conducting foundational mathematics research. Students benefit through enhanced curriculum, research seminars, and potential research positions. Strengthens mathematical sciences education.",https://www.simonsfoundation.org/mathematics-physical-sciences/,Simons Foundation,Math/Science Program,"Pure Mathematics, Applied Mathematics, Mathematical Physics",College,Free,Research universities,Academic year and summer,High,High,Varies by institution,,Varies by institution,,,Free,Mathematical sciences diversity,True,Medium,High,Limited,True,Basic,National,,True,Professional,simons_foundation_programs
Stanford Summer Humanities Institute,"Three-week residential program for grades 10-11 exploring humanities questions through seminars, workshops, and collaborative projects. Small seminar-style classes with Stanford faculty. Includes writing workshops, research projects, and cultural activities. Develops critical thinking and analytical writing skills.",https://spcs.stanford.edu/programs,Stanford Pre-Collegiate Programs,Summer Program,"Humanities, Social Science",10-11,9000,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs
Stanford Pre-Collegiate Creative Writing,"Writing workshop focusing on fiction, poetry, and creative nonfiction. Small seminar format with peer review and one-on-one feedback. Study craft elements, develop writing voice, and complete portfolio projects. Led by published writers and Stanford writing instructors. Includes readings and literary events.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Writing, Literature, Arts",9-12,7500,Residential,3 weeks,Basic,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs
Stanford Pre-Collegiate Psychology,"Introduction to psychological science including cognitive psychology, social psychology, and neuroscience. Conduct psychology experiments, analyze data, and explore research methods. Learn from Stanford psychology faculty. Topics include memory, decision-making, mental health, and human behavior.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Psychology, Neuroscience, Social Science",10-12,8000,Residential,3 weeks,Basic,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs
Stanford Pre-Collegiate International Relations,"Exploration of global politics, international law, diplomacy, and world affairs. Model UN simulations, policy debates, and case studies. Meet Stanford faculty from international relations and political science. Develop analytical and public speaking skills. Includes current events analysis.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Political Science, International Relations, Social Science",10-12,7500,Residential,3 weeks,Basic,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs
Academic Enrichment Programs,Academic Enrichment ProgramsOur programs provide pre-collegiate students from the U.S. and around the world the chance to explore their passions and dive deep into a single topic beyond what is typically taught in a school curriculum.By GradeShowHideGrade 1–5Grade 6Grade 7Grade 8Grade 9Grade 10Grade 11Grade 12By subjectShowHideArts and MusicBusinessHumanitiesSocial ScienceMathematicsScienceBy time of yearShowHideFallSummerAcademic YearProgram formatShowHideResidentialCommuter/Non-ResidentialOnli,https://spcs.stanford.edu/programs,Stanford Pre-Collegiate Programs,Summer Program,"Computer Science, Mathematics, Physics",9-12,8000,Online,3 weeks,High,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,True,False,High-speed-required,National,Required,True,Professional,stanford_precollege_programs
Let SWE Help Fund Your College Education,"For 65 years, SWE scholarships have empowered students pursuing undergraduate and graduate degrees in engineering, engineering technology, and related fields. Open to students entering their first year of undergraduate study (including current high school seniors) CLOSED for the 2025-2026 Academic Year Open to undergraduates entering their sophomore, junior, or senior year and new or continuing graduate students",https://swe.org/scholarships/,Society of Women Engineers,Scholarship,"Engineering, Technology",9-12,Scholarship,Hybrid,Flexible,High,High,Check SWE website,,False,False,,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,swe_k12_programs
Broadcom MASTERS - STEM Mentorship Network,"Access to STEM professionals and scientists for finalists and alumni. Ongoing mentorship, career guidance, and networking opportunities. Connect with industry leaders.",https://www.societyforscience.org/broadcom-masters/,Broadcom MASTERS,Program,"STEM Careers, Mentorship, Networking",6-8,Free,Hybrid,Ongoing,High,High,Finalist status,,Not applicable,Not required,,Free,True,True,True,High,True,Variable,Required,National,Low,True,Professional,broadcom_masters
CodeCombat Classroom Edition,"Teacher-facilitated coding curriculum with classroom management tools. Includes progress tracking, lesson plans, and assessment features for educators teaching programming.",https://codecombat.com/teachers,CodeCombat,Learning Platform,"Computer Science, Programming",6-12,Freemium,Online,Academic year,,Medium,Rolling,Low,True,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,,True,Teacher,codecombat
Code Ninjas BUILD Program - App Development,Advanced program for teens learning mobile app development. Build iOS and Android apps. Professional development skills and portfolio creation.,https://www.codeninjas.com/programs,Code Ninjas,Afterschool Program,"Computer Science, App Development, Programming",7-8,Paid,In-person,6-12 months,High,High,Rolling,High,Limited,Optional,Materials,$500-$1000,False,True,True,Medium,False,True,Required,Regional,Low,True,Teacher,code_ninjas
Code Ninjas School Partnerships,In-school coding programs and after-school clubs. Bring Code Ninjas curriculum to schools. Teacher training and student coding education.,https://www.codeninjas.com/,Code Ninjas,Afterschool Program,"Computer Science, Programming, Game Design",K-8,Paid,In-person,Academic year,,High,School year,Medium,True,Optional,Materials,$100-$500,False,True,True,Medium,False,False,,Regional,Low,True,Teacher,code_ninjas
CyberStart America - Teacher Support Program,"Resources for educators to integrate cybersecurity into curriculum. Professional development, lesson plans, and classroom management tools. Free teacher training.",https://www.cyberstartamerica.org/,CyberStart America,Professional Development,"Cybersecurity, Education, Teaching",9-12,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,National,,True,Professional,cyberstart_america
Engineering Tomorrow's Teachers,"Professional development program preparing K-12 teachers to integrate engineering concepts into their curriculum. Includes training, resources, and ongoing support.",https://www.discovere.org/our-programs/engineering-tomorrows-teachers,DiscoverE,Professional Development,"Engineering, Education",K-12,Free,Hybrid,Variable (workshops + ongoing),,High,Rolling,,Not applicable,Not required,,Free,False,True,True,Medium,True,Variable,Required,National,,True,Professional,discovere_programs
DiscoverE Engineering Resources,"Free online engineering activities, lesson plans, and resources for K-12 educators. Includes hands-on projects, career information, and classroom activities.",https://www.discovere.org/our-programs,DiscoverE,Learning Platform,"Engineering, All STEM",K-12,Free,Online,Self-paced,,Medium,,,Not applicable,Not required,,Free,False,True,True,Medium,True,False,Required,International,Optional,False,,discovere_programs
Engineering Challenges for Classrooms,"Structured engineering design challenges for K-12 classrooms. Teacher guides, student worksheets, and materials lists for hands-on engineering projects.",https://www.discovere.org/our-programs,DiscoverE,Learning Platform,"Engineering, Design, Problem Solving",K-12,Free,Hybrid,Variable (1-4 weeks),,Medium,,Low,Not applicable,Not required,Materials,Free,False,True,True,Medium,True,False,Helpful,International,Optional,True,Teacher,discovere_programs
Dream Big Educator Resources,"Curriculum and activities based on Dream Big engineering film. Lesson plans, activities, and resources for teaching engineering concepts.",https://www.discovere.org/our-programs,DiscoverE,Learning Platform,"Engineering, Design Thinking",K-12,Free,Hybrid,Variable,,Medium,,,Not applicable,Not required,,Free,False,True,True,Medium,True,False,Helpful,International,Optional,False,,discovere_programs
Future City Teacher Workshop,"Professional development workshop for teachers leading Future City teams. Training on competition requirements, engineering mentorship, and classroom integration.",https://www.discovere.org/our-programs/future-city,DiscoverE,Professional Development,"Engineering, Education, Mentorship",6-8,Free,Hybrid,1-2 days,,High,September,,Not applicable,Not required,,Free,False,True,True,Medium,True,Variable,Helpful,National,,True,Professional,discovere_programs
Engineering For Kids - After-School Enrichment Program,"Weekly after-school engineering classes for elementary students. Hands-on projects in robotics, structures, aerospace, and more. Small class sizes with certified instructors.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Engineering, Robotics, Science",K-5,Paid,In-person,8-12 weeks (1 hour/week),,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,,Regional,High,True,Teacher,engineering_for_kids
Engineering For Kids - Birthday Party Program,"Engineering-themed birthday parties with hands-on projects. Choose from robotics, rocketry, structures, or other themes. Instructor-led activities for groups.",https://www.engineeringforkids.com/,Engineering For Kids,Workshop,"Engineering, Science, Technology",K-8,Paid,In-person,1-2 hours (single event),,High,By reservation,Medium,False,Not required,Materials,$100-$500,False,True,True,Medium,False,True,,Regional,High,True,Teacher,engineering_for_kids
Engineering For Kids - In-School Field Trips,Bring engineering to your school. Instructors visit schools to deliver hands-on engineering lessons aligned with curriculum standards.,https://www.engineeringforkids.com/,Engineering For Kids,Workshop,"Engineering, Science, Technology",K-8,Paid,In-person,1-2 hours (single visit),,High,By school arrangement,Medium,False,Not required,Materials,$100-$500,False,True,True,Medium,False,False,,Regional,,True,Teacher,engineering_for_kids
"Niche $50,000 Scholarship","No essay required! Monthly scholarship drawing for $50,000 awarded to one high school or college student. Simply create a free Niche profile to enter.",https://www.niche.com/colleges/scholarships/,Niche,Scholarship,All STEM,9-12,Free,Online,Variable (5-15 minutes),,Low,Monthly,,Not applicable,Not required,,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,niche_stem_scholarships
"Niche $2,000 No Essay Scholarship","Monthly $2,000 scholarship with no essay required. Open to high school and college students. Winners selected through monthly drawings.",https://www.niche.com/colleges/scholarships/,Niche,Scholarship,All STEM,9-12,Free,Online,Variable (5-10 minutes),,Low,Monthly,,Not applicable,Not required,,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,niche_stem_scholarships
Simons Summer Research Program,Seven-week research program at Stony Brook University where high school students work on independent projects with faculty mentors in STEM fields.,https://pathwaystoscience.org/programs.aspx,Pathways to Science,Research,"General STEM, Biology, Chemistry, Physics, Mathematics",11-12,Free,In-person,7 weeks (summer),High,High,January 15,Low,True,Not required,Travel,Paid-Program,False,True,True,High,Variable,True,Basic,NY,,True,Professional,pathways_to_science
Prodigy Math - Teacher Tools,"Free teacher dashboard for classroom use. Assign specific math skills, create assessments, track student progress, and differentiate instruction. Standards-aligned reports.",https://www.prodigygame.com/,Prodigy Math,Learning Platform,"Mathematics, Education",1-8,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,False,True,True,Medium,True,False,Required,International,,False,Teacher,prodigy_math
Prodigy Math - Home Practice Tool,Self-directed math practice at home with engaging gameplay. No teacher assignment needed. Students practice grade-level appropriate math skills independently.,https://www.prodigygame.com/main-en/parents/,Prodigy Math,Learning Platform,Mathematics,1-8,Free,Online,Self-paced,,Low,Rolling,,Not applicable,Not required,Premium Features,Free,False,True,True,Medium,True,False,Required,International,Low,True,,prodigy_math
Sphero STEAM Lesson Library,"Library of cross-curricular STEAM lessons using Sphero robots. Math, science, art, and social studies integration. Teacher guides and student worksheets.",https://edu.sphero.com/,Sphero Education,Curriculum,"STEAM, Mathematics, Science, Art, Engineering",K-12,Free,Hybrid,Variable,,High,Rolling,Medium,False,Not required,Hardware,Free,False,True,True,Medium,True,False,Required,International,Low,True,Teacher,sphero_education
Sphero Teacher Training and Certification,"Free professional development for educators. Learn to integrate Sphero robots into curriculum. Best practices, classroom management, and lesson planning.",https://edu.sphero.com/,Sphero Education,Professional Development,"STEAM Education, Teaching, Curriculum",K-12,Free,Online,Self-paced,,High,Rolling,,Not applicable,Not required,,Free,False,True,True,Medium,True,False,Required,International,,True,Professional,sphero_education
Sphero Community Projects and Sharing,Online community for sharing Sphero projects and programs. Learn from other educators and students. Collaborative coding and project galleries.,https://edu.sphero.com/,Sphero Education,Learning Platform,"Coding, Robotics, Community Learning",K-12,Free,Online,Variable,,Medium,Rolling,,Not applicable,Not required,Optional Hardware,Free,False,True,True,High,True,False,Required,International,Optional,True,Community,sphero_education
Sphero At-Home Learning Activities,Activities designed for home learning and parent engagement. No teacher required. Self-guided lessons for families learning together.,https://edu.sphero.com/,Sphero Education,Learning Platform,"STEAM, Coding, Robotics",K-12,Free,Home,Variable,,Medium,Rolling,Medium,False,Not required,Hardware,Free,False,True,True,Medium,True,False,Required,International,High,False,,sphero_education
Sphero Parent and Educator Resources,"Guides for parents and educators new to robotics. Setup instructions, activity ideas, troubleshooting, and learning progression recommendations.",https://edu.sphero.com/,Sphero Education,Learning Platform,"STEAM Education, Robotics",K-12,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,False,True,True,Medium,True,False,Required,International,High,False,,sphero_education
STEMfinity Teacher Curriculum Guides,"Comprehensive curriculum guides for K-12 STEM teachers. Lesson plans, standards alignment, assessment tools, and classroom management strategies.",https://www.stemfinity.com/STEM-Education,STEMfinity,Professional Development,"STEM Education, Curriculum",K-12,Free,Online,Variable,,High,,,Not applicable,Not required,,Free,False,True,True,Medium,True,False,Required,National,,False,Professional,stemfinity
STEM Challenge Educator Workshop,Professional development for teachers incorporating game design into STEM curriculum. Learn how to guide students through the competition and integrate game-based learning.,https://www.stemchallenge.org/,National STEM Video Game Challenge,Professional Development,"Computer Science, Game Design, Education",K-12,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,False,True,True,Medium,True,False,Required,National,,True,Professional,stem_video_game_challenge
Tynker Coding for Educators,"Comprehensive classroom curriculum and resources for teachers. Includes lesson plans, assessment tools, and student progress tracking for K-12 coding education.",https://www.tynker.com/k-12/,Tynker,Learning Platform,"Computer Science, Education, Programming",K-12,Freemium,Online,Academic year,,Medium,Rolling,Low,True,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Low,True,Teacher,tynker
RobotLAB Classroom Robotics,"Turn-key robotics curriculum for schools. Complete lesson plans, robotics kits, and teacher training for implementing robotics education in K-12 classrooms.",https://www.robotlab.com/,RobotLAB,Curriculum,"Robotics, Engineering, Programming",K-12,Paid,In-person,Academic year,,High,Rolling,High,False,Not required,Equipment,$1000+,False,True,True,Medium,True,False,Helpful,National,,True,Teacher,youth_robotics
FIRST LEGO League Classroom Program,"Curriculum integration version of FLL for schools. Teachers implement LEGO robotics challenges within regular class time, no competition required.",https://www.firstinspires.org/,FIRST,Curriculum,"Robotics, Engineering, Programming",4-8,Paid,In-person,12-16 weeks (class time),,High,Academic year,Medium,True,Not required,Equipment,$500-$1000,False,True,True,Medium,True,False,Helpful,National,,True,Teacher,youth_robotics
Zearn Math - Teacher Dashboard,"Free teacher tools for monitoring student progress, assigning lessons, and tracking mastery. Data-driven insights to support differentiated instruction in math.",https://www.zearn.org/,Zearn Math,Learning Platform,"Mathematics, Education",K-8,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,National,,False,Teacher,zearn_math
Astronaut Scholarship Foundation - Undergraduate STEM Scholarship,"$15,000 scholarship for outstanding college sophomores and juniors pursuing degrees in STEM fields. Established by Mercury 7 astronauts to support future leaders in science and technology. Recipients join prestigious network of astronaut scholars.",https://www.astronautscholarship.org/scholarships.html,Astronaut Scholarship Foundation,Scholarship,"Aerospace Engineering, Engineering, Physical Sciences, Computer Science",College Sophomore-Junior,Free to apply,Virtual,1-2 hours application,Advanced,High,Nominated by participating universities,,N/A - This is financial aid,No,,Free,False,True,False,Medium,True,No,High,Participating universities only,No,High,High,astronaut_scholarship
Boeing Teacher Professional Development,Professional development program for educators to learn aerospace concepts and teaching methods. Teachers receive Boeing curriculum materials and ongoing support to implement STEM programs.,https://www.boeing.com/company/key-orgs/boeing-global-engagement/community-investment/education-and-learning,Boeing,Professional Development,"Aerospace Engineering, Aviation, Engineering, Manufacturing",Educators,Free,In-person,3-5 days,,High,Check Boeing website,,True,False,Low,Free,True,True,False,High,True,True,Basic,Select-regions,,True,Professional,boeing_student_programs
CMU Robotics Academy - Teacher Professional Development,"Free professional development for educators teaching robotics and computer science. Online and in-person training, curriculum implementation support, and ongoing educator community.",https://www.roboticseducation.org/,Carnegie Mellon Robotics Academy,Program,"Teacher Training, Robotics Education, Professional Development",K-12,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,International,,True,Professional,cmu_robotics_academy
Coding Rooms - Python Fundamentals (Middle School),"Comprehensive Python course for middle school students. Cover variables, data types, conditionals, loops, functions, lists, and dictionaries. Hands-on projects with real-time collaboration and teacher feedback.",https://www.codingrooms.com/curriculum,Coding Rooms,Learning Platform,"Computer Science, Programming, Python",6-8,Freemium,Online,20-30 hours,,Medium,Rolling,Low,Limited,Optional,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Teacher,coding_rooms
Coding Rooms - Teacher Dashboard and Classroom Management,"Comprehensive teacher tools for managing coding classrooms. Real-time student monitoring, automated grading, assignment creation, progress tracking, and classroom analytics. Free for educators.",https://www.codingrooms.com/,Coding Rooms,Learning Platform,"Computer Science Education, Teaching Tools",K-12,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,International,,False,Teacher,coding_rooms
Coolmath Games - Classroom Integration Resources,"Teacher resources and guides for integrating Coolmath Games into classroom instruction. Free educational gaming as brain breaks, rewards, or supplemental learning activities.",https://www.coolmathgames.com/,Coolmath Games,Learning Platform,"Mathematics, Education, Teaching Resources",K-12,Free,Online,Self-paced,,Medium,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,International,,False,Teacher,coolmath_games
FIRST LEGO League Classroom Edition,Curriculum-based version of FIRST LEGO League for in-school implementation. Structured lesson plans aligned to education standards. Teachers guide students through season challenges during class time. Optional participation in showcase events.,https://www.firstlegoleague.org/,FIRST LEGO League,Program,"Robotics, Engineering, Curriculum, Education",4-8,Paid,In-person,Semester,,High,School year,Medium,Limited,Optional,Equipment,$100-$500,True,True,True,High,True,False,Basic,International,Low,True,Teacher,first_lego_league
Girls Who Code Facilitator Program,"Training and support program for educators and volunteers to lead Girls Who Code clubs and activities, including curriculum resources and professional development.",https://girlswhocode.com/programs/facilitators,Girls Who Code,Tech Program,"Computer Science, Programming",6-12,Free,Hybrid,Training workshops,,High,Workshop registration,,False,Any,,Free,True,True,True,High,False,True,Basic,Select-regions,Optional,True,Professional,girls_who_code_programs
Hopscotch - Educator Dashboard,"Free classroom management tools for teachers. Create class codes, monitor student progress, view projects, and access curriculum-aligned lesson plans. Support K-8 computer science education.",https://www.gethopscotch.com/educators,Hopscotch,Learning Platform,"Computer Science Education, Classroom Management, Curriculum",4-8,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,Medium,True,False,Required,International,Low,False,Teacher,hopscotch_coding
Hopscotch - Classroom Lesson Plans,"Free downloadable lesson plans aligned to CSTA standards. Step-by-step coding activities, project rubrics, and assessment tools. Support educators teaching grades 4-8 computer science.",https://www.gethopscotch.com/educators,Hopscotch,Learning Platform,"Computer Science Education, Curriculum, Standards-Aligned",4-8,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,Medium,True,False,Required,International,Low,False,Teacher,hopscotch_coding
Science Fair Research Mentor Training,Professional development program for teachers and mentors to effectively guide students through independent research projects and science fair competition preparation.,https://www.societyforscience.org/outreach-programs/,Society for Science,Teacher Program,All STEM,6-12,Free,Virtual,Workshop series,Medium,High,Scheduled workshops,Medium,True,Any,Equipment,Free,True,True,True,Medium,True,True,Basic,National,Optional,True,Adult,intel_science_fair_programs
Jack Kent Cooke College Scholarship,"Highly selective scholarship for high-achieving high school seniors with financial need. Covers up to $40,000 per year for undergraduate study at accredited four-year institutions. Includes comprehensive academic and personal support.",https://www.jkcf.org/our-scholarships/college-scholarship/,Jack Kent Cooke Foundation,Need-Based Scholarship,All STEM,12,Free,Remote,4 years,Very High,High,November application,,True,Low-income-focus,,Free,True,True,True,High,True,False,Basic,National,Required,True,Professional,jkc_foundation_programs
Jack Kent Cooke Undergraduate Transfer Scholarship,"Prestigious scholarship for community college students transferring to four-year institutions. Supports high-achieving students with significant financial need. Provides up to $40,000 per year and comprehensive academic support services.",https://www.jkcf.org/our-scholarships/undergraduate-transfer/,Jack Kent Cooke Foundation,Need-Based Scholarship,All STEM,College,Free,Remote,2-3 years,Very High,High,December application,,True,Low-income-focus,,Free,True,True,True,High,True,False,Basic,National,Required,True,Professional,jkc_foundation_programs
Jack Kent Cooke Graduate Arts Award,"Support for graduate students pursuing MFA degrees in creative writing, theater, or visual arts. Recognizes exceptional artistic talent and financial need. Provides funding for graduate study at accredited institutions.",https://www.jkcf.org/our-scholarships/,Jack Kent Cooke Foundation,Academic Scholarship,Arts (limited STEM relevance),Graduate,Free,Remote,2-3 years,Very High,High,January application,,True,Low-income-focus,,Free,True,True,True,High,True,False,Basic,National,Required,True,Professional,jkc_foundation_programs
MATHCOUNTS Trainer Program,Professional development program for educators to become certified MATHCOUNTS trainers. Learn coaching strategies and competition preparation techniques.,https://mathcounts.org/programs/trainer-program,MATHCOUNTS,Math Program,Mathematics,6-8,Low-cost,Regional,1-2 days training,High,High,Summer workshops,Low,False,Any,,Under-$100,False,True,True,Medium,True,False,Basic,National,Optional,True,Adult,mathcounts_programs
MIT App Inventor Master Trainer Course,Comprehensive professional development course for educators to learn App Inventor and integrate mobile app development into their curriculum. Includes pedagogy and assessment strategies.,http://appinventor.mit.edu/teach/master-trainer/,MIT App Inventor,Programming Course,"Computer Science, Mobile App Development",6-12,Free,Online,4-6 weeks,Basic,High,Scheduled cohorts,,False,Any,,Free,True,True,True,Medium,True,False,Basic,National,,False,,mit_app_inventor_programs
Mystery Science - School Subscription,"Full-access subscription for schools providing complete K-5 science curriculum. Teacher guides, assessments, and additional resources. Professional development support. NGSS-aligned comprehensive program.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Multi-Subject Science, Curriculum, Teacher Resources",K-5,Paid,Classroom,Full curriculum,,High,Rolling,Medium,School-district,Not applicable,Materials,$500-$1000,True,True,True,High,True,False,Required,National,Low,False,Teacher,mystery_science
NASA Launches 2026 Lunabotics Challenge,"As college students across the country embark upon the academic year, NASA is giving them something else to look forward to – the agency’s 2026 Lunabotics Challenge. Teams interested in participating can submit their applications and supporting materials through NASA’s Stem Gateway portal beginning Monday, Sept. 8.",https://www.nasa.gov/learning-resources/for-colleges-universities/nasa-launches-2026-lunabotics-challenge/,NASA,Competition,"Rocket Engineering, Computer Science",6-12,Free,Virtual,2 weeks,Medium,High,Varies by session,,False,Any,"Travel, Equipment",Free,True,True,True,High,True,False,High-speed-required,National,Required,True,Professional,nasa_programs_combined
Corporate-Sponsored Merit Scholarships,Business and corporate sponsors provide scholarships for children of employees or students in specific geographic regions. Awards may be renewable for four years of undergraduate study.,https://www.nationalmerit.org/,National Merit Scholarship Corporation,Merit Scholarship,All STEM,11-12,Free,Remote,1-2 years,High,Low,Varies by sponsor,,True,False,,Free,False,True,False,Low,True,False,Basic,National,Optional,False,,national_merit_programs
NIH Undergraduate Scholarship Program,Scholarship program for undergraduate students from disadvantaged backgrounds committed to careers in biomedical research. Includes summer research at NIH.,https://www.training.nih.gov/programs/ugsp,National Institute of Health,Research Program,"Biology, Medicine, Biomedical Research, Neuroscience",College,Free,In-person,10 weeks,Medium,High,February application,,True,False,Low,Free,True,True,True,High,False,True,Basic,Select-regions,,True,Professional,nih_student_programs
NOAA Climate.gov Educational Resources,"Comprehensive climate science education materials, data tools, and curriculum resources for K-12 students and educators focused on climate change and variability.",https://www.climate.gov/teaching,NOAA,Federal Program,"Environmental Science, Climate Science, Earth Science",K-12,Free,Online,Self-paced,,Medium,Open access,Low,False,Any,,Free,True,True,False,High,False,True,Basic,National,Optional,False,Professional,noaa_education_programs
