name,original,enhanced,original_words,enhanced_words
Beast Academy Online - Full Program,"Comprehensive online math program for grades 2-5 featuring interactive lessons, adaptive practice, and engaging problem-solving challenges. Covers all elementary math topics with comic book style instruction and gamified learning.","Comprehensive online math program for grades 2-5 featuring interactive lessons, adaptive practice, and engaging problem-solving challenges. Covers all elementary math topics with comic book style instruction and gamified learning. This Learning Platform focuses on Mathematics and serves grade 2-5 students. The program requires Self-paced (3-5 hours/week) commitment, paid, available online.",29,50
Beast Academy Grade 2 Curriculum,"Second grade math curriculum covering place value, addition, subtraction, measurement, and problem-solving strategies. Features comic book guide and practice workbooks with challenging puzzles.","Second grade math curriculum covering place value, addition, subtraction, measurement, and problem-solving strategies. Features comic book guide and practice workbooks with challenging puzzles. This Learning Platform focuses on Mathematics and serves grade 2 students. The program requires Self-paced (academic year) commitment, freemium, available online.",23,44
Beast Academy Grade 3 Curriculum,"Third grade math covering multiplication, division, fractions, area, perimeter, and logic puzzles. Advanced problem-solving with engaging comic characters and progressively challenging exercises.","Third grade math covering multiplication, division, fractions, area, perimeter, and logic puzzles. Advanced problem-solving with engaging comic characters and progressively challenging exercises. This Learning Platform focuses on Mathematics and serves grade 3 students. The program requires Self-paced (academic year) commitment, freemium, available online. Prerequisites: Low level.",22,46
Beast Academy Grade 4 Curriculum,"Fourth grade math featuring advanced multiplication, division, fractions, decimals, factors, multiples, and algebra basics. Rigorous problem-solving with strategic thinking emphasis.","Fourth grade math featuring advanced multiplication, division, fractions, decimals, factors, multiples, and algebra basics. Rigorous problem-solving with strategic thinking emphasis. This Learning Platform focuses on Mathematics and serves grade 4 students. The program requires Self-paced (academic year) commitment, freemium, available online. Prerequisites: Low level.",20,44
Beast Academy Grade 5 Curriculum,"Fifth grade math covering advanced fractions, decimals, percents, integers, ratios, exponents, and pre-algebra concepts. Challenging problems preparing students for middle school math.","Fifth grade math covering advanced fractions, decimals, percents, integers, ratios, exponents, and pre-algebra concepts. Challenging problems preparing students for middle school math. This Learning Platform focuses on Mathematics and serves grade 5 students. The program requires Self-paced (academic year) commitment, freemium, available online. Prerequisites: Medium level.",22,46
Beast Academy Books - Complete Series,Physical comic book style math textbooks and practice workbooks for grades 2-5. Engaging characters teach problem-solving strategies with progressively difficult exercises and puzzles.,"Physical comic book style math textbooks and practice workbooks for grades 2-5. Engaging characters teach problem-solving strategies with progressively difficult exercises and puzzles. This Learning Platform focuses on Mathematics and serves grade 2-5 students. The program requires Self-paced (academic year) commitment, paid, available hybrid.",23,44
Beast Academy Practice - Problem Solving,"Adaptive online practice system with thousands of problems across all elementary topics. Features hints, video solutions, and personalized learning paths based on student performance.","Adaptive online practice system with thousands of problems across all elementary topics. Features hints, video solutions, and personalized learning paths based on student performance. This Learning Platform focuses on Mathematics, Problem Solving and serves grade 2-5 students. The program requires Self-paced (flexible) commitment, paid, available online.",24,46
Beast Academy Puzzles & Games,"Interactive math puzzles, logic games, and brain teasers designed to develop critical thinking and mathematical reasoning. Includes strategy games, number puzzles, and geometry challenges.","Interactive math puzzles, logic games, and brain teasers designed to develop critical thinking and mathematical reasoning. Includes strategy games, number puzzles, and geometry challenges. This Learning Platform focuses on Mathematics, Logic and serves grade 2-5 students. The program requires Self-paced (flexible) commitment, paid, available online.",24,45
Beast Academy Parent Dashboard,"Comprehensive parent portal with progress tracking, performance analytics, topic mastery reports, and time-on-task monitoring. Helps parents support their child's math learning journey.","Comprehensive parent portal with progress tracking, performance analytics, topic mastery reports, and time-on-task monitoring. Helps parents support their child's math learning journey. This Learning Platform focuses on Mathematics and serves grade 2-5 students. The program requires Monitoring commitment, paid, available online.",22,41
Beast Academy Free Trial,"Free one-month trial of Beast Academy Online with full access to all grade levels, practice problems, and features. No credit card required to start.","Free one-month trial of Beast Academy Online with full access to all grade levels, practice problems, and features. No credit card required to start. This Learning Platform focuses on Mathematics and serves grade 2-5 students. The program requires 1 month trial commitment, free, available online.",24,45
Broadcom MASTERS Competition,Premier national STEM competition for middle school students grades 6-8. Top 30 finalists compete in Washington DC for scholarships and awards. Must qualify through affiliated science fair.,"Premier national STEM competition for middle school students grades 6-8. Top 30 finalists compete in Washington DC for scholarships and awards. Must qualify through affiliated science fair. This Competition focuses on Science, Technology, Engineering, Mathematics, All STEM and serves grade 6-8 students. The program requires 6-12 months commitment, free, available hybrid. Prerequisites: High level.",27,54
Broadcom MASTERS - Science Fair Qualification,Students must first compete in affiliated science fair to be nominated for MASTERS. Complete independent research project and present at local/regional science fair. Top projects nominated by fair directors.,"Students must first compete in affiliated science fair to be nominated for MASTERS. Complete independent research project and present at local/regional science fair. Top projects nominated by fair directors. This Competition focuses on Science, Research, All STEM and serves grade 6-8 students. The program requires 4-8 months (project) commitment, free, available in-person. Prerequisites: High level.",29,55
Broadcom MASTERS - Finals Competition,"Top 30 finalists travel to Washington DC for week-long STEM competition. Team and individual challenges testing critical thinking, collaboration, communication, and creativity. $25,000 top prize.","Top 30 finalists travel to Washington DC for week-long STEM competition. Team and individual challenges testing critical thinking, collaboration, communication, and creativity. $25,000 top prize. This Competition focuses on STEM, Problem Solving, Critical Thinking and serves grade 6-8 students. The program requires 1 week (October) commitment, free, available in-person. Prerequisites: High level.",25,52
Broadcom MASTERS - Samueli Foundation Prize,Special award for engineering projects in MASTERS competition. Recognizes outstanding middle school engineering research. Additional prize and recognition for finalists.,"Special award for engineering projects in MASTERS competition. Recognizes outstanding middle school engineering research. Additional prize and recognition for finalists. This Competition focuses on Engineering, Design, Technology and serves grade 6-8 students. The program requires 6-12 months commitment, free, available hybrid. Prerequisites: High level.",20,44
Broadcom MASTERS - Rising Stars Awards,"Recognition program for MASTERS alumni continuing in STEM. Awards for high school achievements in science, research, and innovation. College scholarships and mentorship.","Recognition program for MASTERS alumni continuing in STEM. Awards for high school achievements in science, research, and innovation. College scholarships and mentorship. This Scholarship focuses on STEM, Research, Innovation and serves grade 6-8 students. The program requires Alumni program commitment, free, available online. Prerequisites: High level.",22,46
Broadcom MASTERS - Application Process,"Online application for nominated students. Submit essays, video, and science fair project documentation. Selection based on research, communication skills, and STEM passion.","Online application for nominated students. Submit essays, video, and science fair project documentation. Selection based on research, communication skills, and STEM passion. This Competition focuses on STEM, Communication, Research and serves grade 6-8 students. The program requires 2-4 weeks commitment, free, available online. Prerequisites: High level.",22,46
CodeCombat Computer Science Courses,Game-based coding platform teaching Python and JavaScript through interactive gameplay. Students write real code to control characters and solve puzzles across multiple worlds.,"Game-based coding platform teaching Python and JavaScript through interactive gameplay. Students write real code to control characters and solve puzzles across multiple worlds. This Learning Platform focuses on Computer Science, Programming, Game Design and serves grade 6-12 students. The program requires Self-paced commitment, freemium, available online.",23,46
CodeCombat Python Programming Track,"Learn Python programming through adventure-based gameplay. Covers fundamentals including variables, loops, functions, and object-oriented programming in an engaging fantasy setting.","Learn Python programming through adventure-based gameplay. Covers fundamentals including variables, loops, functions, and object-oriented programming in an engaging fantasy setting. This Learning Platform focuses on Computer Science, Programming, Python and serves grade 6-12 students. The program requires Self-paced (50-100 hours) commitment, freemium, available online.",20,44
CodeCombat JavaScript Programming Track,"Master JavaScript fundamentals through game-based learning. Build coding skills while playing through dungeons, solving puzzles, and defeating enemies with code.","Master JavaScript fundamentals through game-based learning. Build coding skills while playing through dungeons, solving puzzles, and defeating enemies with code. This Learning Platform focuses on Computer Science, Programming, JavaScript, Web Development and serves grade 6-12 students. The program requires Self-paced (50-100 hours) commitment, freemium, available online.",20,46
Codeforces Regular Contests,"Regular competitive programming contests held 2-3 times per week. Divisions 1, 2, 3, and 4 cater to different skill levels from beginner to advanced.","Regular competitive programming contests held 2-3 times per week. Divisions 1, 2, 3, and 4 cater to different skill levels from beginner to advanced. This Competition focuses on Computer Science, Programming, Algorithms and serves grade 9-12 students. The program requires 2-3 hours per contest commitment, free, available online. Prerequisites: Variable level.",24,51
Codeforces Educational Rounds,Educational programming rounds designed for learning and practice. Includes detailed editorials and explanations for every problem.,"Educational programming rounds designed for learning and practice. Includes detailed editorials and explanations for every problem. This Learning Platform focuses on Computer Science, Programming, Algorithms and serves grade 9-12 students. The program requires 2 hours per round commitment, free, available online. Prerequisites: Medium level.",16,44
Codeforces Problem Archive,"Extensive archive of 7000+ programming problems across all difficulty levels. Problems tagged by topic including algorithms, data structures, math, and more.","Extensive archive of 7000+ programming problems across all difficulty levels. Problems tagged by topic including algorithms, data structures, math, and more. This Learning Platform focuses on Computer Science, Programming, Algorithms, Data Structures and serves grade 9-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: Variable level.",21,48
Codeforces Gym,"Virtual contest platform with archived contests from various competitions including ACM ICPC, regional contests, and training camps.","Virtual contest platform with archived contests from various competitions including ACM ICPC, regional contests, and training camps. This Competition focuses on Computer Science, Programming, Algorithms and serves grade 9-12 students. The program requires Variable (2-5 hours) commitment, free, available online. Prerequisites: Medium level.",17,43
Codeforces Rating System,Competitive rating system from Newbie (800-1199) to International Grandmaster (2600+). Track progress and compete with global programmers.,"Competitive rating system from Newbie (800-1199) to International Grandmaster (2600+). Track progress and compete with global programmers. This Learning Platform focuses on Computer Science, Programming and serves grade 9-12 students. The program requires Ongoing commitment, free, available online. Prerequisites: Variable level.",17,41
Codeforces Virtual Contests,Practice with past contests in a simulated competition environment. Solve problems with time limits and receive ratings as if competing live.,"Practice with past contests in a simulated competition environment. Solve problems with time limits and receive ratings as if competing live. This Learning Platform focuses on Computer Science, Programming, Algorithms and serves grade 9-12 students. The program requires 2-3 hours per virtual contest commitment, free, available online. Prerequisites: Medium level.",21,50
Codeforces Blogs and Tutorials,"Community-generated educational content including algorithm tutorials, problem-solving techniques, and competitive programming strategies.","Community-generated educational content including algorithm tutorials, problem-solving techniques, and competitive programming strategies. This Learning Platform focuses on Computer Science, Programming, Algorithms and serves grade 9-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: Variable level.",12,37
Code Ninjas Core Program - CREATE Track,"Year-round coding program for ages 7-14. Progress through color-coded belt system while building games. Learn JavaScript, Lua, C#, and game design. Drop-in format with personalized learning.","Year-round coding program for ages 7-14. Progress through color-coded belt system while building games. Learn JavaScript, Lua, C#, and game design. Drop-in format with personalized learning. This Afterschool Program focuses on Computer Science, Game Design, Programming and serves grade 2-8 students. The program requires Year-round (2-3 hours/week) commitment, paid, available in-person.",26,51
Code Ninjas JR - Ages 5-7,"Introduction to coding for younger kids ages 5-7. Visual block-based coding with age-appropriate projects. Foundation skills in logic, problem-solving, and computational thinking.","Introduction to coding for younger kids ages 5-7. Visual block-based coding with age-appropriate projects. Foundation skills in logic, problem-solving, and computational thinking. This Afterschool Program focuses on Computer Science, Logic, Problem Solving and serves grade K-2 students. The program requires Year-round (1-2 hours/week) commitment, paid, available in-person.",22,47
Code Ninjas Core Program - White Belt Level,Beginner level coding using visual programming. Learn fundamental coding concepts through game creation. Scratch and block-based coding introduction.,"Beginner level coding using visual programming. Learn fundamental coding concepts through game creation. Scratch and block-based coding introduction. This Afterschool Program focuses on Computer Science, Programming, Game Design and serves grade 2-6 students. The program requires 3-6 months commitment, paid, available in-person.",18,42
Code Ninjas Core Program - Yellow/Orange Belt,"Intermediate coding with JavaScript and Lua. Create more complex games with advanced mechanics. Learn functions, loops, and variables through game development.","Intermediate coding with JavaScript and Lua. Create more complex games with advanced mechanics. Learn functions, loops, and variables through game development. This Afterschool Program focuses on Computer Science, JavaScript, Game Design and serves grade 3-8 students. The program requires 6-12 months commitment, paid, available in-person. Prerequisites: Low level.",21,48
Code Ninjas Core Program - Black Belt Level,Advanced coding mastery with original game development. Create fully functional games from scratch. Portfolio-ready projects and mentorship opportunities.,"Advanced coding mastery with original game development. Create fully functional games from scratch. Portfolio-ready projects and mentorship opportunities. This Afterschool Program focuses on Computer Science, Game Development, Programming and serves grade 5-8 students. The program requires 12-24 months total progression commitment, paid, available in-person. Prerequisites: High level.",18,47
Code Ninjas Summer Camp - Game Building,Week-long summer camp focused on game design and development. Build complete games using various programming languages. Full-day immersive coding experience.,"Week-long summer camp focused on game design and development. Build complete games using various programming languages. Full-day immersive coding experience. This Camp focuses on Computer Science, Game Design, Programming and serves grade 2-8 students. The program requires 1 week (full day) commitment, paid, available in-person.",20,45
Code Ninjas Summer Camp - Roblox,"Learn to create Roblox games with Lua programming. Design game worlds, code gameplay mechanics, and publish to Roblox platform. Week-long intensive camp.","Learn to create Roblox games with Lua programming. Design game worlds, code gameplay mechanics, and publish to Roblox platform. Week-long intensive camp. This Camp focuses on Computer Science, Game Design, Lua Programming and serves grade 3-8 students. The program requires 1 week (full day) commitment, paid, available in-person.",22,48
Code Ninjas Summer Camp - Minecraft,"Code in Minecraft using JavaScript. Create mods, custom game modes, and automated builds. Combine gaming with programming education.","Code in Minecraft using JavaScript. Create mods, custom game modes, and automated builds. Combine gaming with programming education. This Camp focuses on Computer Science, Programming, Game Design and serves grade 2-7 students. The program requires 1 week (full day) commitment, paid, available in-person.",18,43
Code Ninjas Summer Camp - Robotics,"Build and program robots using VEX or LEGO platforms. Learn mechanical engineering, sensors, and automation. Hands-on robotics challenges.","Build and program robots using VEX or LEGO platforms. Learn mechanical engineering, sensors, and automation. Hands-on robotics challenges. This Camp focuses on Robotics, Engineering, Programming and serves grade 3-8 students. The program requires 1 week (full day) commitment, paid, available in-person.",18,41
Code Ninjas Camps - School Break Sessions,"Winter break, spring break, and holiday coding camps. Themed coding projects during school vacations. Multi-day intensive learning experiences.","Winter break, spring break, and holiday coding camps. Themed coding projects during school vacations. Multi-day intensive learning experiences. This Camp focuses on Computer Science, Game Design, Programming and serves grade 2-8 students. The program requires 2-5 days (full day) commitment, paid, available in-person.",18,43
Code Ninjas Parents Night Out,Evening coding events while parents enjoy night out. Fun coding projects and games in supervised environment. 2-3 hour sessions.,"Evening coding events while parents enjoy night out. Fun coding projects and games in supervised environment. 2-3 hour sessions. This Workshop focuses on Computer Science, Game Design and serves grade K-8 students. The program requires 2-3 hours (single event) commitment, paid, available in-person.",19,43
Code Ninjas Birthday Parties,"Coding-themed birthday parties for kids. Custom game building, robotics, or themed coding activities. Instructor-led party with all materials included.","Coding-themed birthday parties for kids. Custom game building, robotics, or themed coding activities. Instructor-led party with all materials included. This Workshop focuses on Computer Science, Game Design and serves grade K-8 students. The program requires 2 hours (single event) commitment, paid, available in-person.",19,43
Code Ninjas Web Development Track,"Learn HTML, CSS, and JavaScript to build websites. Full-stack web development fundamentals. Create responsive websites and web applications.","Learn HTML, CSS, and JavaScript to build websites. Full-stack web development fundamentals. Create responsive websites and web applications. This Afterschool Program focuses on Computer Science, Web Development, Programming and serves grade 5-8 students. The program requires 6-12 months commitment, paid, available in-person. Prerequisites: Medium level.",18,45
Code Ninjas Unity Game Development,"Create professional 2D and 3D games using Unity game engine. Learn C# programming, physics, animations, and game publishing. Industry-standard tools.","Create professional 2D and 3D games using Unity game engine. Learn C# programming, physics, animations, and game publishing. Industry-standard tools. This Afterschool Program focuses on Computer Science, Game Development, C# Programming and serves grade 6-8 students. The program requires 6-12 months commitment, paid, available in-person. Prerequisites: Medium level.",20,48
Code Ninjas Impact Programs - Community Outreach,Scholarship opportunities and community coding events. Free workshops for underserved communities. STEM education access initiatives.,"Scholarship opportunities and community coding events. Free workshops for underserved communities. STEM education access initiatives. This Workshop focuses on Computer Science, Programming and serves grade K-8 students. The program requires Variable commitment, free, available in-person.",15,35
Code Ninjas Weekly Drop-In Sessions,Flexible drop-in coding sessions. No long-term commitment required. Pay-as-you-go model for families wanting flexible schedules.,"Flexible drop-in coding sessions. No long-term commitment required. Pay-as-you-go model for families wanting flexible schedules. This Afterschool Program focuses on Computer Science, Programming and serves grade 2-8 students. The program requires Per session (2 hours) commitment, paid, available in-person.",15,39
Code Ninjas FREE Trial Session,Free introductory coding session for new students. Experience Code Ninjas curriculum and teaching style. No commitment required.,"Free introductory coding session for new students. Experience Code Ninjas curriculum and teaching style. No commitment required. This Workshop focuses on Computer Science, Programming and serves grade K-8 students. The program requires 1-2 hours (single session) commitment, free, available in-person.",17,40
National Merit Scholarship Program - STEM Award,"$2,500 scholarship for high school seniors demonstrating exceptional STEM abilities. Based on PSAT/NMSQT scores and academic excellence in science and mathematics.","$2,500 scholarship for high school seniors demonstrating exceptional STEM abilities. Based on PSAT/NMSQT scores and academic excellence in science and mathematics. This Scholarship focuses on General STEM, Mathematics, Science and serves grade 11-12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",21,46
NSBE Jr. High School STEM Scholarship,"$3,000 scholarship for African American high school students pursuing STEM degrees. Recognizes academic achievement and leadership in engineering and technology.","$3,000 scholarship for African American high school students pursuing STEM degrees. Recognizes academic achievement and leadership in engineering and technology. This Scholarship focuses on Engineering, Computer Science, Technology and serves grade 9-12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",20,45
SWE High School Scholarship,"$3,000 scholarship for female high school students planning to study engineering or computer science. Recognizes women pursuing STEM careers.","$3,000 scholarship for female high school students planning to study engineering or computer science. Recognizes women pursuing STEM careers. This Scholarship focuses on Engineering, Computer Science and serves grade 11-12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",19,43
Dell Scholars Program - STEM Track,"$20,000 scholarship for low-income high school students pursuing STEM degrees. Includes laptop and ongoing support throughout college.","$20,000 scholarship for low-income high school students pursuing STEM degrees. Includes laptop and ongoing support throughout college. This Scholarship focuses on General STEM, Computer Science, Engineering and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",17,43
Coca-Cola Scholars Program - STEM Award,"$20,000 scholarship for high school seniors with outstanding leadership and STEM achievement. Highly competitive national scholarship.","$20,000 scholarship for high school seniors with outstanding leadership and STEM achievement. Highly competitive national scholarship. This Scholarship focuses on General STEM, Science, Mathematics and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",16,41
Gates Scholarship - STEM Emphasis,Full tuition scholarship for minority high school seniors pursuing STEM fields. Covers full cost of attendance not covered by financial aid.,"Full tuition scholarship for minority high school seniors pursuing STEM fields. Covers full cost of attendance not covered by financial aid. This Scholarship focuses on General STEM, Computer Science, Engineering, Science and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",21,48
Ron Brown Scholar Program - STEM,"$40,000 scholarship for African American high school seniors pursuing STEM. Renewable award for exceptional academic achievement.","$40,000 scholarship for African American high school seniors pursuing STEM. Renewable award for exceptional academic achievement. This Scholarship focuses on General STEM, Engineering, Science, Technology and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",16,42
Intel Science Talent Search Scholarship,"$7,500-$250,000 for high school seniors with exceptional STEM research projects. Recognizes independent research in science and mathematics.","$7,500-$250,000 for high school seniors with exceptional STEM research projects. Recognizes independent research in science and mathematics. This Scholarship focuses on Science, Mathematics, Engineering, Computer Science and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",17,43
STEM Education Coalition Scholarship,"$2,500 for high school students planning STEM careers. Recognizing commitment to science, technology, engineering, and mathematics.","$2,500 for high school students planning STEM careers. Recognizing commitment to science, technology, engineering, and mathematics. This Scholarship focuses on General STEM, Engineering, Technology and serves grade 11-12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",16,41
Best Buy @ 15 Scholarship - Technology Track,"$2,500 scholarship for high school students pursuing technology and computer science. For students with GPA 2.5+ interested in tech careers.","$2,500 scholarship for high school students pursuing technology and computer science. For students with GPA 2.5+ interested in tech careers. This Scholarship focuses on Computer Science, Technology, Software Engineering and serves grade 11-12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Low level.",20,46
Lockheed Martin STEM Scholarship,"$10,000 renewable scholarship for high school seniors pursuing engineering or computer science. Four-year renewable award.","$10,000 renewable scholarship for high school seniors pursuing engineering or computer science. Four-year renewable award. This Scholarship focuses on Engineering, Computer Science, Aerospace and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",15,40
Google Generation Scholarship,"$10,000 scholarship for underrepresented minority high school students pursuing computer science. For African American, Hispanic, or Native American students.","$10,000 scholarship for underrepresented minority high school students pursuing computer science. For African American, Hispanic, or Native American students. This Scholarship focuses on Computer Science, Software Engineering, Technology and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",19,45
Microsoft Tuition Scholarship,"$5,000 scholarship for high school seniors pursuing computer science or related STEM fields. Partial tuition support for first year.","$5,000 scholarship for high school seniors pursuing computer science or related STEM fields. Partial tuition support for first year. This Scholarship focuses on Computer Science, Software Engineering, Data Science and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",19,46
Buick Achievers Scholarship - STEM,"$25,000 renewable scholarship for high school seniors pursuing engineering or technology. Emphasis on first-generation college students.","$25,000 renewable scholarship for high school seniors pursuing engineering or technology. Emphasis on first-generation college students. This Scholarship focuses on Engineering, Technology, Computer Science and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",16,41
AXA Achievement Scholarship - STEM,"$10,000 scholarship for high school seniors with outstanding STEM achievement and community service. National competition.","$10,000 scholarship for high school seniors with outstanding STEM achievement and community service. National competition. This Scholarship focuses on General STEM, Science, Mathematics and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",15,40
UNCF-Merck Science Initiative,"$6,900 scholarship for African American high school seniors pursuing life sciences or chemistry. Includes summer research opportunities.","$6,900 scholarship for African American high school seniors pursuing life sciences or chemistry. Includes summer research opportunities. This Scholarship focuses on Biology, Chemistry, Life Sciences and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",17,42
Davidson Fellows Scholarship - STEM,"$10,000-$50,000 for high school students with extraordinary STEM projects. Recognizing significant contributions to mathematics and science.","$10,000-$50,000 for high school students with extraordinary STEM projects. Recognizing significant contributions to mathematics and science. This Scholarship focuses on Mathematics, Science, Technology, Engineering and serves grade 9-12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",16,41
SMART Scholarship for STEM,"$25,000 scholarship for high school seniors pursuing STEM degrees in specific fields. Includes summer internship opportunities.","$25,000 scholarship for high school seniors pursuing STEM degrees in specific fields. Includes summer internship opportunities. This Scholarship focuses on Engineering, Computer Science, Mathematics, Physics and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",16,42
Elks National Foundation Most Valuable Student - STEM,"$4,000-$12,500 scholarship for high school seniors with outstanding STEM academic achievement. Based on scholarship, leadership, and financial need.","$4,000-$12,500 scholarship for high school seniors with outstanding STEM academic achievement. Based on scholarship, leadership, and financial need. This Scholarship focuses on General STEM, Science, Mathematics and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",18,43
NSHSS STEM Scholar Award,"$1,000 scholarship for National Society of High School Scholars members pursuing STEM. For students with 3.5+ GPA in science courses.","$1,000 scholarship for National Society of High School Scholars members pursuing STEM. For students with 3.5+ GPA in science courses. This Scholarship focuses on General STEM, Science, Technology and serves grade 10-12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",20,45
Boeing Company Scholarship,"$5,000 scholarship for high school seniors pursuing aerospace engineering or related STEM fields. Renewable for up to four years.","$5,000 scholarship for high school seniors pursuing aerospace engineering or related STEM fields. Renewable for up to four years. This Scholarship focuses on Aerospace Engineering, Engineering, Physics and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",19,44
GE-Reagan Foundation Scholarship,"$10,000 renewable scholarship for high school seniors pursuing STEM or business. Emphasis on leadership and entrepreneurial spirit.","$10,000 renewable scholarship for high school seniors pursuing STEM or business. Emphasis on leadership and entrepreneurial spirit. This Scholarship focuses on General STEM, Engineering, Technology and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",17,42
AFCEA STEM Major Scholarships,"$5,000 scholarship for high school seniors pursuing STEM degrees in communications, electronics, or computer science fields.","$5,000 scholarship for high school seniors pursuing STEM degrees in communications, electronics, or computer science fields. This Scholarship focuses on Computer Science, Electronics, Communications Engineering and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",16,42
Regeneron Science Talent Search,"$2,000-$250,000 for high school seniors with exceptional STEM research. Top 40 finalists invited to Washington DC for judging.","$2,000-$250,000 for high school seniors with exceptional STEM research. Top 40 finalists invited to Washington DC for judging. This Scholarship focuses on Science, Mathematics, Engineering and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",18,42
NACA Regional Council Student Leader Scholarship - STEM,"$500-$1,000 for high school students pursuing STEM with demonstrated leadership. For student council members and leaders.","$500-$1,000 for high school students pursuing STEM with demonstrated leadership. For student council members and leaders. This Scholarship focuses on General STEM, Science, Technology and serves grade 11-12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Low level.",16,41
Horatio Alger STEM Scholarship,"$25,000 scholarship for high school seniors pursuing STEM who have overcome adversity. For students facing financial hardship.","$25,000 scholarship for high school seniors pursuing STEM who have overcome adversity. For students facing financial hardship. This Scholarship focuses on General STEM, Engineering, Science and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",17,42
SMART Girls Scholarship,"$3,000 scholarship for female high school students pursuing STEM degrees. Supporting women in science, mathematics, and technology.","$3,000 scholarship for female high school students pursuing STEM degrees. Supporting women in science, mathematics, and technology. This Scholarship focuses on General STEM, Mathematics, Science, Technology and serves grade 11-12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",17,43
National Space Club Keynote Scholarship,"$10,000 scholarship for high school seniors pursuing aerospace or space-related STEM fields. For students passionate about space exploration.","$10,000 scholarship for high school seniors pursuing aerospace or space-related STEM fields. For students passionate about space exploration. This Scholarship focuses on Aerospace Engineering, Physics, Astronomy and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",18,43
NAMEPA Scholarship Foundation STEM Award,"$5,000 scholarship for minority high school students pursuing STEM degrees. National Action Council for Minorities in Engineering award.","$5,000 scholarship for minority high school students pursuing STEM degrees. National Action Council for Minorities in Engineering award. This Scholarship focuses on Engineering, Computer Science, Technology and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",18,43
AWS Girls Tech Program Scholarship,"$3,000 scholarship for female high school students pursuing computer science or cloud computing. Supporting women in technology careers.","$3,000 scholarship for female high school students pursuing computer science or cloud computing. Supporting women in technology careers. This Scholarship focuses on Computer Science, Cloud Computing, Technology and serves grade 11-12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",18,44
Science Olympiad Scholarship,"$1,500 scholarship for high school Science Olympiad competitors pursuing STEM. For students who participated in state or national competitions.","$1,500 scholarship for high school Science Olympiad competitors pursuing STEM. For students who participated in state or national competitions. This Scholarship focuses on General STEM, Science, Engineering and serves grade 11-12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",19,44
First Robotics Scholarship,"$2,000 scholarship for FIRST Robotics Competition participants pursuing engineering or computer science. For team members demonstrating leadership.","$2,000 scholarship for FIRST Robotics Competition participants pursuing engineering or computer science. For team members demonstrating leadership. This Scholarship focuses on Robotics, Engineering, Computer Science and serves grade 11-12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",17,42
Environmental Protection Agency STEM Scholarship,"$4,000 scholarship for high school students pursuing environmental science or engineering. For students committed to environmental protection.","$4,000 scholarship for high school students pursuing environmental science or engineering. For students committed to environmental protection. This Scholarship focuses on Environmental Science, Environmental Engineering, Biology and serves grade 11-12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Medium level.",17,43
