name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level,source_file,program_family
Blockchain Learning Path,"Explore blockchain technology fundamentals, cryptocurrency concepts, and distributed ledger systems. Learn how blockchain is transforming industries and prepare for future blockchain-related careers. Includes hands-on activities and real-world case studies. Free digital credentials available.",https://skillsbuild.org/students,IBM SkillsBuild,Tech Skills Program,"Blockchain Technology, Computer Science, Cryptography",9-12,Free,Online,12-15 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
Cloud Computing Learning Path,"Introduction to cloud computing concepts, cloud service models (IaaS, PaaS, SaaS), and major cloud platforms. Students learn about cloud architecture, deployment models, and cloud security. Prepares students for cloud-related careers and certifications. Earn digital badges.",https://skillsbuild.org/students,IBM SkillsBuild,Tech Skills Program,"Cloud Computing, Computer Science, Information Technology",9-12,Free,Online,15-20 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
Cybersecurity Fundamentals,"Learn essential cybersecurity concepts including threat identification, network security, cryptography, and security best practices. Understand common vulnerabilities and how to protect systems and data. Perfect for students interested in cybersecurity careers. Includes interactive simulations.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Online Course,"Cybersecurity, Computer Science, Information Security",9-12,Free,Online,10-15 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
Data Science Foundations,"Introduction to data science concepts, data analysis techniques, and data visualization. Students learn about statistical thinking, data cleaning, and interpreting data patterns. Includes practical exercises with real datasets. Suitable for beginners with interest in data careers.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Tech Skills Program,"Data Science, Statistics, Computer Science",9-12,Free,Online,12-18 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
Design Thinking Learning Path,"Master design thinking methodology for creative problem-solving. Learn to empathize with users, define problems, ideate solutions, prototype, and test. Develops critical thinking and innovation skills applicable across all industries. Includes collaborative projects and case studies.",https://skillsbuild.org/students,IBM SkillsBuild,Tech Skills Program,"Design Thinking, Innovation, Problem Solving",9-12,Free,Online,8-12 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
Professional Skills Development,"Build essential workplace skills including communication, collaboration, time management, and professional etiquette. Learn how to write effective emails, conduct presentations, and work in teams. Prepares students for internships and future careers. Earn professional skills credentials.",https://skillsbuild.org/students,IBM SkillsBuild,Career Readiness,"Career Readiness, Professional Development, Communication",9-12,Free,Online,10-15 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
Web Development Basics,"Learn web development fundamentals including HTML, CSS, and JavaScript basics. Create responsive web pages and understand web design principles. Hands-on projects guide students through building their first websites. Perfect for aspiring web developers.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Online Course,"Web Development, Computer Science, Programming",9-12,Free,Online,15-20 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
Quantum Computing Introduction,"Explore the fascinating world of quantum computing. Learn quantum mechanics basics, quantum algorithms, and quantum computers capabilities. Understand how quantum computing will revolutionize technology. Suitable for curious students interested in cutting-edge technology.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Online Course,"Quantum Computing, Physics, Computer Science",9-12,Free,Online,8-10 hours,Basic,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
UX Design Fundamentals,"Introduction to user experience design principles and practices. Learn user research methods, wireframing, prototyping, and usability testing. Understand how to create user-centered designs for digital products. Includes hands-on design projects and industry tools.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Online Course,"UX Design, Design Thinking, Digital Design",9-12,Free,Online,12-15 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
IT Support Fundamentals,"Learn essential IT support skills including troubleshooting, hardware basics, operating systems, and customer service. Understand networking fundamentals and common IT problems. Prepares students for entry-level IT support roles and certifications.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Online Course,"Information Technology, Computer Science, Technical Support",9-12,Free,Online,10-15 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
Agile Methodology,"Master Agile project management principles and practices. Learn about Scrum, sprints, user stories, and iterative development. Understand how modern tech teams collaborate and deliver projects. Valuable for students pursuing careers in technology and project management.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Career Readiness,"Project Management, Software Development, Agile",9-12,Free,Online,6-8 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
Job Readiness Skills,"Comprehensive preparation for entering the workforce. Learn resume writing, interview techniques, networking strategies, and professional presence. Includes mock interviews, resume reviews, and career exploration activities. Essential for students preparing for internships and jobs.",https://skillsbuild.org/students,IBM SkillsBuild,Career Readiness,"Career Readiness, Professional Development, Job Skills",9-12,Free,Online,8-12 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
Enterprise Computing Basics,"Introduction to enterprise-level computing systems and business technology. Learn about enterprise software, databases, business processes, and enterprise architecture. Understand how large organizations use technology. Prepares students for business technology careers.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Online Course,"Enterprise Computing, Information Systems, Business Technology",9-12,Free,Online,10-12 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
Sustainability and Technology,"Explore how technology addresses environmental challenges and promotes sustainability. Learn about green computing, renewable energy systems, and sustainable technology practices. Understand the role of tech professionals in creating a sustainable future.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Online Course,"Environmental Science, Technology, Sustainability",9-12,Free,Online,6-8 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs,
iGEM High School Competition,"International synthetic biology competition where high school teams design and build genetically engineered systems. Teams work for 6-9 months on original research projects, create DNA constructs using BioBrick parts, and present findings at the annual Giant Jamboree. Develops skills in molecular biology, engineering, ethics, and science communication.",https://igem.org/competition/high-school,iGEM Foundation,Synthetic Biology Competition,"Biology, Genetics, Synthetic Biology, Engineering, Bioinformatics",9-12,$5000+ (team registration),School-based with travel,6-9 months (10-20 hours/week),High,High,"Annual (typically May for registration, October for Jamboree)",Prohibitive,Yes (grants and waivers available),Team-based cost sharing possible,High,$2000+,"Global participation, iGEM inclusion initiatives",True,Limited,High,False,True,Basic,International,,True,Professional,igem_highschool_programs,
iGEM Giant Jamboree (High School Division),"Annual international conference where iGEM high school teams present their synthetic biology projects to judges, compete for awards, and network with the global synthetic biology community. Multi-day event featuring project presentations, poster sessions, workshops, and award ceremonies. Culminating event of year-long competition.",https://igem.org/competition,iGEM Foundation,Synthetic Biology Competition,"Biology, Genetics, Synthetic Biology, Science Communication",9-12,"$2000-5000+ (travel, lodging, registration)",In-person conference,4-5 days (October/November),High,High,October (varies annually),Prohibitive,Yes (travel grants available),Team fundraising common,High,$2000+,"Global participation, international collaboration",True,Limited,High,False,True,Basic,International,,True,Professional,igem_highschool_programs,
iGEM Distribution Kit (High School),"Comprehensive collection of standardized biological parts (BioBricks) provided to registered teams. Includes plasmids, DNA sequences, and genetic components for building synthetic biology projects. Kit enables teams to design and construct genetically engineered systems without synthesizing DNA from scratch.",https://igem.org/competition,iGEM Foundation,Synthetic Biology Competition,"Biology, Genetics, Synthetic Biology, Molecular Biology",9-12,Included in team registration,School lab,Ongoing throughout competition (6-9 months),High,High,Shipped after registration confirmation,Prohibitive,Included with registration fee waivers,Team-based,Medium,$2000+,Standardized access for all teams,True,Limited,High,False,False,Basic,International,,True,Professional,igem_highschool_programs,
iGEM Team Wiki and Project Documentation,"Required component where teams create comprehensive online documentation of their synthetic biology project. Includes research background, experimental design, results, safety considerations, human practices work, and team information. Teaches scientific communication, web design, and documentation skills. Wiki is judged as part of competition.",https://igem.org/competition,iGEM Foundation,Synthetic Biology Competition,"Biology, Science Communication, Web Design, Technical Writing",9-12,Included in registration,Online,2-3 months (intensive work July-October),Medium,High,October (Wiki Freeze),Prohibitive,Included with registration,Team-based,,$2000+,All teams have equal platform,True,Limited,High,True,False,High-speed-required,International,,True,Professional,igem_highschool_programs,
iGEM Human Practices (High School),"Required project component where teams explore the social, ethical, and environmental implications of their synthetic biology work. Teams engage with stakeholders, consider safety and ethics, and integrate feedback into project design. Emphasizes responsible innovation and real-world impact of biotechnology.",https://igem.org/competition,iGEM Foundation,Synthetic Biology Competition,"Biology, Ethics, Sociology, Science Policy, Public Engagement",9-12,Included in registration,Community-based,3-4 months (ongoing throughout project),Medium,High,October (integrated into final presentation),Prohibitive,Included with registration,Team-based,Low,$2000+,Community engagement focus,True,Medium,High,True,False,Basic,International,,True,Professional,igem_highschool_programs,
iGEM Mentorship and Training Resources,"Comprehensive support system including online tutorials, webinars, safety training, and mentorship from previous iGEM participants and synthetic biology professionals. Resources cover lab techniques, project design, wiki development, presentation skills, and safety protocols. Access to global iGEM community for guidance.",https://igem.org/competition,iGEM Foundation,Synthetic Biology Competition,"Biology, Genetics, Synthetic Biology, Lab Safety",9-12,Included in registration,Online and school-based,Ongoing throughout competition (6-9 months),Medium,High,Available upon registration,Prohibitive,Included with registration,Team-based,,$2000+,Equal access to mentorship for all teams,True,Medium,High,True,False,High-speed-required,International,,True,Professional,igem_highschool_programs,
JASON Digital Lab Platform,"Comprehensive online STEM learning platform featuring interactive digital labs, career videos with scientists and engineers, and hands-on activities. Students explore real-world science through multimedia content including expeditions, research missions, and engineering challenges. Standards-aligned curriculum integrating science, technology, and engineering.",https://www.jason.org/,JASON Learning,STEM Program,"Science, Engineering, Technology, Environmental Science",K-12,School subscription required,Online platform,Ongoing (integrated into curriculum),,High,None (ongoing access),Low,Depends on school subscription,School-provided access,,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,,True,Professional,jason_learning_programs,
JASON Career Exploration Videos,"Library of video content featuring real scientists, engineers, and researchers in action. Students learn about STEM careers through authentic workplace footage and scientist interviews. Videos showcase diverse professionals solving real-world problems. Connects classroom learning to career possibilities in science and engineering fields.",https://www.jason.org/,JASON Learning,STEM Program,"Science, Engineering, Technology, Career Development",6-12,School subscription required,Online platform,Flexible viewing (individual videos),,Medium,None (ongoing access),Low,Depends on school subscription,School-provided access,,Free,Diverse STEM professionals featured,True,True,High,True,False,High-speed-required,National,,False,Professional,jason_learning_programs,
JASON Virtual Research Expeditions,"Immersive virtual expeditions where students join scientists on research missions. Interactive multimedia content explores topics like ocean exploration, space science, climate research, and wildlife conservation. Students analyze real data, solve problems, and experience scientific inquiry. Expedition-based learning with hands-on investigations.",https://www.jason.org/programs/,JASON Learning,STEM Program,"Science, Marine Biology, Environmental Science, Earth Science",4-12,School subscription required,Online platform,4-6 weeks per expedition (classroom integration),,High,None (ongoing access),Low,Depends on school subscription,School-provided access,,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,,True,Professional,jason_learning_programs,
JASON Engineering Design Challenges,"Project-based engineering activities where students design, build, and test solutions to real-world problems. Challenges include robotics, renewable energy, structural engineering, and environmental solutions. Students follow engineering design process from problem identification through prototyping and testing. Develops critical thinking and problem-solving skills.",https://www.jason.org/programs/,JASON Learning,STEM Program,"Engineering, Technology, Design Thinking, Applied Science",3-12,School subscription required,Classroom and online,2-4 weeks per challenge,,High,None (ongoing access),Low,Depends on school subscription,School-provided access,Low,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,,True,Professional,jason_learning_programs,
JASON Student STEM Competitions,"National competitions where students apply JASON curriculum learning to solve challenges. Students submit project entries, videos, or designs demonstrating scientific understanding and innovation. Competitions aligned with JASON expedition themes and engineering challenges. Recognition and prizes for outstanding student work.",https://www.jason.org/student-programs/,JASON Learning,STEM Program,"Science, Engineering, Technology, Innovation",4-12,Free to enter,Online submission,Project development (varies),Basic,Medium,Annual competition deadlines,Low,,,Low,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,Optional,True,Professional,jason_learning_programs,MIT Programs
JASON Elementary STEM Program,"Age-appropriate STEM curriculum for elementary students (K-5). Hands-on activities and digital content introduce scientific concepts through exploration and discovery. Topics include life science, physical science, earth science, and engineering. Builds foundation for future STEM learning with engaging, interactive lessons.",https://www.jason.org/programs/,JASON Learning,STEM Program,"Science, Engineering, Technology, Nature",K-5,School subscription required,Classroom and online,Integrated into science curriculum,,High,None (ongoing access),Low,Depends on school subscription,School-provided access,,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,,True,Professional,jason_learning_programs,
JASON Middle School STEM Curriculum,"Comprehensive middle school science program (6-8) featuring interdisciplinary STEM content. Students engage with life science, physical science, earth/space science, and engineering design. Real-world applications and career connections make science relevant. Digital labs and hands-on investigations develop scientific thinking and 21st-century skills.",https://www.jason.org/programs/,JASON Learning,STEM Program,"Science, Engineering, Technology, Data Analysis",6-8,School subscription required,Classroom and online,Full-year science curriculum,,High,None (ongoing access),Low,Depends on school subscription,School-provided access,,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,,True,Professional,jason_learning_programs,
JASON High School STEM Resources,"Advanced STEM content and career exploration for high school students (9-12). In-depth scientific content, engineering projects, and research-based learning. Career videos feature scientists and engineers in diverse fields. Prepares students for college STEM programs and careers through rigorous, engaging curriculum.",https://www.jason.org/programs/,JASON Learning,STEM Program,"Science, Engineering, Technology, Research Methods, Career Preparation",9-12,School subscription required,Classroom and online,Supplemental curriculum resources,Basic,High,None (ongoing access),Low,Depends on school subscription,School-provided access,,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,,True,Professional,jason_learning_programs,
JASON Family STEM Engagement Activities,"At-home science activities and resources for families to explore STEM together. Free activities extend classroom learning to home environment. Parents and students conduct experiments, explore nature, and learn about science careers. Builds family engagement in STEM education and supports student learning outside school.",https://www.jason.org/,JASON Learning,STEM Program,"Science, Engineering, Family Education",K-12,Free,Home-based,Flexible family activities,,Low,None (ongoing access),,,,Low,Free,JASON equity and inclusion initiatives,True,True,High,True,False,Basic,National,High,False,,jason_learning_programs,
Khan Academy Early Math,"Foundational math skills for young learners including counting, addition, subtraction, shapes, and measurement. Interactive exercises and videos. Builds number sense and mathematical thinking. Kindergarten through 2nd grade content.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,K-2,Free,Online,Self-paced,,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Arithmetic,"Core arithmetic skills including addition, subtraction, multiplication, division, fractions, and decimals. Practice exercises with instant feedback. Mastery-based progression. Elementary and middle school mathematics fundamentals.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,3-6,Free,Online,Self-paced,Basic,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Pre-Algebra,"Pre-algebra topics including negative numbers, exponents, order of operations, variables, and equations. Prepares students for algebra. Interactive practice and instructional videos. Middle school mathematics.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,7-8,Free,Online,Self-paced,Basic,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Algebra 1,"Complete Algebra 1 curriculum including linear equations, inequalities, functions, polynomials, and quadratic equations. Aligned with Common Core standards. Videos, practice problems, and assessments. High school mathematics.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,9-10,Free,Online,Self-paced,Medium,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Geometry,"Comprehensive geometry course covering angles, triangles, circles, polygons, coordinate geometry, and geometric proofs. Interactive constructions and problem-solving. Aligned with high school geometry standards.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,9-10,Free,Online,Self-paced,Medium,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Algebra 2,"Advanced algebra topics including polynomials, rational expressions, exponential and logarithmic functions, trigonometry, and complex numbers. Prepares for precalculus. High school mathematics.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,10-11,Free,Online,Self-paced,High,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Trigonometry,"Trigonometric functions, identities, equations, and applications. Right triangle trigonometry, unit circle, graphs, and laws of sines and cosines. Essential for calculus preparation.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,10-11,Free,Online,Self-paced,High,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Precalculus,"Pre-calculus topics including functions, conic sections, vectors, matrices, series, and limits. Prepares students for AP Calculus. Advanced high school mathematics.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,11-12,Free,Online,Self-paced,High,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy AP Calculus AB,"Complete AP Calculus AB curriculum including limits, derivatives, integrals, and Fundamental Theorem of Calculus. Practice problems aligned with AP exam. Video lessons and test preparation.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,11-12,Free,Online,Self-paced,High,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy AP Calculus BC,"Advanced calculus topics including series, parametric equations, polar coordinates, and advanced integration techniques. Full AP Calculus BC curriculum. College-level mathematics.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,11-12,Free,Online,Self-paced,High,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Statistics and Probability,"Introduction to statistics and probability including data analysis, probability theory, distributions, inference, and hypothesis testing. Real-world applications and data interpretation.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,9-12,Free,Online,Self-paced,Medium,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Biology,"Comprehensive biology course covering cells, genetics, evolution, ecology, human biology, and biochemistry. Aligned with high school and AP Biology standards. Interactive diagrams and practice.",https://www.khanacademy.org/science,Khan Academy,Online Course,Biology,9-12,Free,Online,Self-paced,Basic,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Chemistry,"High school chemistry covering atoms, molecules, chemical reactions, stoichiometry, thermodynamics, and equilibrium. Laboratory concepts and problem-solving. Aligned with chemistry standards.",https://www.khanacademy.org/science,Khan Academy,Online Course,Chemistry,10-12,Free,Online,Self-paced,Medium,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Physics,"Physics fundamentals including motion, forces, energy, waves, electricity, and magnetism. Problem-solving with real-world applications. Aligned with high school physics standards.",https://www.khanacademy.org/science,Khan Academy,Online Course,Physics,10-12,Free,Online,Self-paced,Medium,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Computer Programming,"Introduction to programming using JavaScript. Learn coding fundamentals including variables, functions, loops, and arrays through interactive projects. Create drawings, animations, and games.",https://www.khanacademy.org/computing,Khan Academy,Online Course,Computer Science,6-12,Free,Online,Self-paced,,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy HTML/CSS,"Web development basics covering HTML structure, CSS styling, and responsive design. Build webpages and understand web technologies. Hands-on projects creating websites.",https://www.khanacademy.org/computing,Khan Academy,Online Course,Computer Science,6-12,Free,Online,Self-paced,,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy SQL,"Database fundamentals and SQL programming. Learn to query, manipulate, and manage data. Relational database concepts and practical database skills.",https://www.khanacademy.org/computing,Khan Academy,Online Course,Computer Science,9-12,Free,Online,Self-paced,Basic,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Computer Science Principles,"AP Computer Science Principles curriculum covering programming, internet, data, and impacts of computing. Aligned with AP CSP exam. Develops computational thinking.",https://www.khanacademy.org/computing,Khan Academy,Online Course,Computer Science,9-12,Free,Online,Self-paced,Basic,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Algorithms,"Introduction to algorithms including sorting, searching, graph algorithms, and algorithm analysis. Computational problem-solving and efficiency. Computer science fundamentals.",https://www.khanacademy.org/computing,Khan Academy,Online Course,Computer Science,10-12,Free,Online,Self-paced,Medium,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Khan Academy Cryptography,"Introduction to cryptography covering encryption, decryption, ciphers, and cryptographic protocols. Historical and modern cryptography. Internet security concepts.",https://www.khanacademy.org/computing,Khan Academy,Online Course,Computer Science,9-12,Free,Online,Self-paced,Medium,Medium,,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,,khan_academy_programs,
Kode With Klossy Virtual Web Development Camp,"Free 2-week virtual coding camp for girls ages 13-18 teaching HTML, CSS, and JavaScript. Build websites and web applications through project-based learning with experienced instructors. Daily live instruction, hands-on coding projects, and peer collaboration. No prior coding experience required.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, HTML, CSS, JavaScript",7-12,Free,Virtual,2 weeks (approximately 3-4 hours/day),,High,Rolling admissions (typically March-April),,Fully funded scholarship,,,Free,Girls in technology,True,True,High,True,False,High-speed-required,National,Parental consent required,True,Professional,kode_with_klossy_programs,
Kode With Klossy Virtual Mobile App Development Camp,"Free 2-week virtual coding camp teaching Swift programming for iOS app development. Girls ages 13-18 learn to design and build mobile applications for iPhone and iPad. Covers user interface design, coding fundamentals, and app deployment. All materials and software provided.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Mobile Development, Swift, iOS Development",7-12,Free,Virtual,2 weeks (approximately 3-4 hours/day),,High,Rolling admissions (typically March-April),,Fully funded scholarship,,,Free,Girls in technology,True,True,High,True,False,High-speed-required,National,Parental consent required,True,Professional,kode_with_klossy_programs,
Kode With Klossy New York City In-Person Coding Camp,"Free 2-week intensive in-person coding camp in New York City for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",,High,Rolling admissions (typically March-April),,Fully funded scholarship including meals,,Low,Free,Girls in technology,True,True,High,False,True,Basic,Northeastern,Parental consent required,True,Professional,kode_with_klossy_programs,
Kode With Klossy Los Angeles In-Person Coding Camp,"Free 2-week intensive in-person coding camp in Los Angeles for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",,High,Rolling admissions (typically March-April),,Fully funded scholarship including meals,,Low,Free,Girls in technology,True,True,High,False,True,Basic,Western,Parental consent required,True,Professional,kode_with_klossy_programs,
Kode With Klossy Chicago In-Person Coding Camp,"Free 2-week intensive in-person coding camp in Chicago for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",,High,Rolling admissions (typically March-April),,Fully funded scholarship including meals,,Low,Free,Girls in technology,True,True,High,False,True,Basic,Midwest,Parental consent required,True,Professional,kode_with_klossy_programs,
Kode With Klossy San Francisco In-Person Coding Camp,"Free 2-week intensive in-person coding camp in San Francisco for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",,High,Rolling admissions (typically March-April),,Fully funded scholarship including meals,,Low,Free,Girls in technology,True,True,High,False,True,Basic,Western,Parental consent required,True,Professional,kode_with_klossy_programs,
Kode With Klossy Austin In-Person Coding Camp,"Free 2-week intensive in-person coding camp in Austin for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",,High,Rolling admissions (typically March-April),,Fully funded scholarship including meals,,Low,Free,Girls in technology,True,True,High,False,True,Basic,South,Parental consent required,True,Professional,kode_with_klossy_programs,
Kode With Klossy Miami In-Person Coding Camp,"Free 2-week intensive in-person coding camp in Miami for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",,High,Rolling admissions (typically March-April),,Fully funded scholarship including meals,,Low,Free,Girls in technology,True,True,High,False,True,Basic,South,Parental consent required,True,Professional,kode_with_klossy_programs,
Kode With Klossy Seattle In-Person Coding Camp,"Free 2-week intensive in-person coding camp in Seattle for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",,High,Rolling admissions (typically March-April),,Fully funded scholarship including meals,,Low,Free,Girls in technology,True,True,High,False,True,Basic,Western,Parental consent required,True,Professional,kode_with_klossy_programs,
