name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level,source_file,program_family,word_count,tfidf_text,financial_barrier_level_predicted,financial_barrier_level_confidence,hidden_costs_level_predicted,hidden_costs_level_confidence,internet_dependency_predicted,internet_dependency_confidence,category_tier2,category_tier1,stem_field_tier2,stem_field_tier1
3D Design and Printing Engineering,"Learn 3D modeling and printing technology. Design objects using CAD software and bring them to life with 3D printers. This Afterschool Program focuses on Engineering, 3D Design, Technology and serves grade 4-8 students. The program requires 6-8 weeks (1 hour/week) commitment, paid, available in-person.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Engineering, 3D Design, Technology",4-8,Paid,In-person,6-8 weeks (1 hour/week),,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,Required,Regional,High,True,Teacher,engineering_for_kids,,44,"3D Design and Printing Engineering Learn 3D modeling and printing technology. Design objects using CAD software and bring them to life with 3D printers. This Afterschool Program focuses on Engineering, 3D Design, Technology and serves grade 4-8 students. The program requires 6-8 weeks (1 hour/week) commitment, paid, available in-person. Engineering, 3D Design, Technology Afterschool Program 4-8 High In-person",False,,False,,False,,Afterschool Program,Other,"Engineering, 3D Design, Technology",Engineering; Other STEM; Technology
Marine Engineering and Ocean Science,"Explore underwater engineering, boat design, and ocean science. Build submarines, boats, and underwater vehicles while learning about marine environments. This Afterschool Program focuses on Engineering, Marine Science, Physics and serves grade 2-6 students. The program requires 6 weeks (1 hour/week) commitment, paid, available in-person.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Engineering, Marine Science, Physics",2-6,Paid,In-person,6 weeks (1 hour/week),,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,Required,Regional,High,True,Teacher,engineering_for_kids,,44,"Marine Engineering and Ocean Science Explore underwater engineering, boat design, and ocean science. Build submarines, boats, and underwater vehicles while learning about marine environments. This Afterschool Program focuses on Engineering, Marine Science, Physics and serves grade 2-6 students. The program requires 6 weeks (1 hour/week) commitment, paid, available in-person. Engineering, Marine Science, Physics Afterschool Program 2-6 High In-person",False,,False,,True,0.87,Afterschool Program,Other,"Engineering, Marine Science, Physics",Engineering; Other STEM; Physics
Renewable Energy Engineering,"Learn about sustainable energy through hands-on projects. Build solar panels, wind turbines, and explore energy efficiency and environmental engineering. This Afterschool Program focuses on Engineering, Environmental Science, Energy and serves grade 3-8 students. The program requires 6-8 weeks (1 hour/week) commitment, paid, available in-person.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Engineering, Environmental Science, Energy",3-8,Paid,In-person,6-8 weeks (1 hour/week),,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,Required,Regional,High,True,Teacher,engineering_for_kids,,44,"Renewable Energy Engineering Learn about sustainable energy through hands-on projects. Build solar panels, wind turbines, and explore energy efficiency and environmental engineering. This Afterschool Program focuses on Engineering, Environmental Science, Energy and serves grade 3-8 students. The program requires 6-8 weeks (1 hour/week) commitment, paid, available in-person. Engineering, Environmental Science, Energy Afterschool Program 3-8 High In-person",False,,False,,True,0.91,Afterschool Program,Other,"Engineering, Environmental Science, Energy",Engineering; Environmental Science; Other STEM
Transportation Engineering,"Design and build vehicles, trains, and transportation systems. Learn about motion, friction, and engineering solutions for moving people and goods. This Afterschool Program focuses on Engineering, Transportation, Physics and serves grade 2-7 students. The program requires 6 weeks (1 hour/week) commitment, paid, available in-person.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Engineering, Transportation, Physics",2-7,Paid,In-person,6 weeks (1 hour/week),,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,Required,Regional,High,True,Teacher,engineering_for_kids,,44,"Transportation Engineering Design and build vehicles, trains, and transportation systems. Learn about motion, friction, and engineering solutions for moving people and goods. This Afterschool Program focuses on Engineering, Transportation, Physics and serves grade 2-7 students. The program requires 6 weeks (1 hour/week) commitment, paid, available in-person. Engineering, Transportation, Physics Afterschool Program 2-7 High In-person",False,,False,,True,0.87,Afterschool Program,Other,"Engineering, Transportation, Physics",Engineering; Other STEM; Physics
Biomedical Engineering for Kids,"Introduction to medical engineering and human body systems. Design prosthetics, learn about medical devices, and explore how engineering helps people. This Afterschool Program focuses on Engineering, Biology, Medical Science and serves grade 4-8 students. The program requires 6 weeks (1 hour/week) commitment, paid, available in-person.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Engineering, Biology, Medical Science",4-8,Paid,In-person,6 weeks (1 hour/week),,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,Required,Regional,High,True,Teacher,engineering_for_kids,,45,"Biomedical Engineering for Kids Introduction to medical engineering and human body systems. Design prosthetics, learn about medical devices, and explore how engineering helps people. This Afterschool Program focuses on Engineering, Biology, Medical Science and serves grade 4-8 students. The program requires 6 weeks (1 hour/week) commitment, paid, available in-person. Engineering, Biology, Medical Science Afterschool Program 4-8 High In-person",False,,False,,True,0.87,Afterschool Program,Other,"Engineering, Biology, Medical Science",Biology; Engineering; Other STEM
Engineering For Kids - Weekend Workshops,"One-time weekend engineering workshops on various topics. Drop-in format for students to try engineering projects without long-term commitment. This Workshop focuses on Engineering, Science, Technology and serves grade K-8 students. The program requires 2-3 hours (single session) commitment, paid, available in-person.",https://www.engineeringforkids.com/,Engineering For Kids,Workshop,"Engineering, Science, Technology",K-8,Paid,In-person,2-3 hours (single session),,High,Workshop dates,Low,False,Not required,Materials,$50-$500,False,True,True,Medium,False,True,Basic,Regional,High,True,Teacher,engineering_for_kids,,41,"Engineering For Kids - Weekend Workshops One-time weekend engineering workshops on various topics. Drop-in format for students to try engineering projects without long-term commitment. This Workshop focuses on Engineering, Science, Technology and serves grade K-8 students. The program requires 2-3 hours (single session) commitment, paid, available in-person. Engineering, Science, Technology Workshop K-8 High In-person",False,,False,,True,0.48,Workshop,Workshop/Training,"Engineering, Science, Technology",Computer Science; Engineering; Technology
Engineering For Kids - Homeschool Programs,"Daytime engineering classes designed for homeschool students. Curriculum-aligned programs providing hands-on STEM education and socialization. This Afterschool Program focuses on Engineering, Science, Technology and serves grade K-8 students. The program requires 8-12 weeks (1-2 hours/week) commitment, paid, available in-person.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Engineering, Science, Technology",K-8,Paid,In-person,8-12 weeks (1-2 hours/week),,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,Helpful,Regional,High,True,Teacher,engineering_for_kids,,39,"Engineering For Kids - Homeschool Programs Daytime engineering classes designed for homeschool students. Curriculum-aligned programs providing hands-on STEM education and socialization. This Afterschool Program focuses on Engineering, Science, Technology and serves grade K-8 students. The program requires 8-12 weeks (1-2 hours/week) commitment, paid, available in-person. Engineering, Science, Technology Afterschool Program K-8 High In-person",False,,False,,True,0.41,Afterschool Program,Other,"Engineering, Science, Technology",Computer Science; Engineering; Technology
High School Senior STEM Scholarship,"Scholarship for high school seniors planning to major in STEM fields. Open to students with strong academic records and demonstrated interest in science, technology, engineering, or mathematics. This Scholarship focuses on Computer Science, Engineering, Mathematics, Science, Technology and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/hs-stem,Fastweb,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",12,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,54,"High School Senior STEM Scholarship Scholarship for high school seniors planning to major in STEM fields. Open to students with strong academic records and demonstrated interest in science, technology, engineering, or mathematics. This Scholarship focuses on Computer Science, Engineering, Mathematics, Science, Technology and serves grade 12 students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Computer Science, Engineering, Mathematics, Science, Technology Scholarship 12 Variable Low Online",True,0.83,True,0.54,False,,Scholarship,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",Computer Science; Engineering; Mathematics; Technology
Women in STEM High School Scholarship,"Supporting female high school students pursuing careers in science, technology, engineering, and mathematics. Promotes gender diversity in STEM fields starting in high school. This Scholarship focuses on Computer Science, Engineering, Mathematics, Science, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/women-stem-hs,Fastweb,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,True,True,True,High,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,50,"Women in STEM High School Scholarship Supporting female high school students pursuing careers in science, technology, engineering, and mathematics. Promotes gender diversity in STEM fields starting in high school. This Scholarship focuses on Computer Science, Engineering, Mathematics, Science, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Computer Science, Engineering, Mathematics, Science, Technology Scholarship 12-Sep Variable Low Online",True,0.83,True,0.54,False,,Scholarship,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",Computer Science; Engineering; Mathematics; Technology
Minority STEM High School Leaders Scholarship,"Scholarship for underrepresented minority high school students in STEM fields. Supports African American, Hispanic, Native American students pursuing STEM education. This Scholarship focuses on Computer Science, Engineering, Mathematics, Science, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/minority-stem-hs,Fastweb,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,True,True,True,High,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,47,"Minority STEM High School Leaders Scholarship Scholarship for underrepresented minority high school students in STEM fields. Supports African American, Hispanic, Native American students pursuing STEM education. This Scholarship focuses on Computer Science, Engineering, Mathematics, Science, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Computer Science, Engineering, Mathematics, Science, Technology Scholarship 12-Sep Variable Low Online",True,0.83,True,0.54,False,,Scholarship,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",Computer Science; Engineering; Mathematics; Technology
High School Mathematics Excellence Award,"Recognizing excellence in mathematics for high school students. For students pursuing pure or applied mathematics studies. This Scholarship focuses on Mathematics, Computer Science and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",https://www.fastweb.com/college-scholarships/mathematics-hs,Fastweb,Scholarship,"Mathematics, Computer Science",12-Sep,Free,Online,Variable (application),High,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,40,"High School Mathematics Excellence Award Recognizing excellence in mathematics for high school students. For students pursuing pure or applied mathematics studies. This Scholarship focuses on Mathematics, Computer Science and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level. Mathematics, Computer Science Scholarship 12-Sep High Low Online",True,0.85,True,0.54,False,,Scholarship,Scholarship,"Mathematics, Computer Science",Computer Science; Mathematics
High School Technology Innovation Scholarship,"For high school students innovating in technology fields including software development, information systems, and data science. This Scholarship focuses on Computer Science, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/technology-hs,Fastweb,Scholarship,"Computer Science, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,40,"High School Technology Innovation Scholarship For high school students innovating in technology fields including software development, information systems, and data science. This Scholarship focuses on Computer Science, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Computer Science, Technology Scholarship 12-Sep Variable Low Online",True,0.83,True,0.54,False,,Scholarship,Scholarship,"Computer Science, Technology",Computer Science; Technology
High School Computer Science Scholarship,"Scholarship for high school students pursuing computer science. Applicants must demonstrate passion for technology and programming. This Scholarship focuses on Computer Science, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/computer-science-hs,Fastweb,Scholarship,"Computer Science, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,40,"High School Computer Science Scholarship Scholarship for high school students pursuing computer science. Applicants must demonstrate passion for technology and programming. This Scholarship focuses on Computer Science, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Computer Science, Technology Scholarship 12-Sep Variable Low Online",True,0.83,True,0.54,False,,Scholarship,Scholarship,"Computer Science, Technology",Computer Science; Technology
High School Engineering Scholarship,"Merit-based scholarship for high school students interested in engineering. Supports students in all engineering disciplines including mechanical, electrical, civil, and chemical engineering. This Scholarship focuses on Engineering, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/engineering-hs,Fastweb,Scholarship,"Engineering, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,45,"High School Engineering Scholarship Merit-based scholarship for high school students interested in engineering. Supports students in all engineering disciplines including mechanical, electrical, civil, and chemical engineering. This Scholarship focuses on Engineering, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Engineering, Technology Scholarship 12-Sep Variable Low Online",True,0.82,True,0.54,False,,Scholarship,Scholarship,"Engineering, Technology",Engineering; Technology
High School Science Research Scholarship,"For high school students conducting original scientific research. Supports student scientists across all disciplines. This Scholarship focuses on Science, Biology, Chemistry, Physics and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",https://www.fastweb.com/college-scholarships/science-hs,Fastweb,Scholarship,"Science, Biology, Chemistry, Physics",12-Sep,Free,Online,Variable (application),High,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,39,"High School Science Research Scholarship For high school students conducting original scientific research. Supports student scientists across all disciplines. This Scholarship focuses on Science, Biology, Chemistry, Physics and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level. Science, Biology, Chemistry, Physics Scholarship 12-Sep High Low Online",True,0.8,True,0.54,False,,Scholarship,Scholarship,"Science, Biology, Chemistry, Physics",Biology; Chemistry; Computer Science; Physics
First Generation STEM High School Scholarship,"Supporting first-generation high school students in STEM fields. Breaking barriers in STEM education for students whose parents did not attend college. This Scholarship focuses on Computer Science, Engineering, Mathematics, Science, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/first-gen-stem-hs,Fastweb,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,True,True,True,High,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,48,"First Generation STEM High School Scholarship Supporting first-generation high school students in STEM fields. Breaking barriers in STEM education for students whose parents did not attend college. This Scholarship focuses on Computer Science, Engineering, Mathematics, Science, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Computer Science, Engineering, Mathematics, Science, Technology Scholarship 12-Sep Variable Low Online",True,0.83,True,0.54,False,,Scholarship,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",Computer Science; Engineering; Mathematics; Technology
Rural STEM High School Student Scholarship,"For STEM students from rural communities. Promoting STEM education access in underserved and rural areas. This Scholarship focuses on Computer Science, Engineering, Mathematics, Science, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/rural-stem-hs,Fastweb,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,True,True,True,High,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,42,"Rural STEM High School Student Scholarship For STEM students from rural communities. Promoting STEM education access in underserved and rural areas. This Scholarship focuses on Computer Science, Engineering, Mathematics, Science, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Computer Science, Engineering, Mathematics, Science, Technology Scholarship 12-Sep Variable Low Online",True,0.83,True,0.54,False,,Scholarship,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",Computer Science; Engineering; Mathematics; Technology
High School Robotics and Automation Scholarship,"Supporting high school students in robotics, automation, and mechatronics. For future robotics engineers and innovators. This Scholarship focuses on Engineering, Computer Science, Robotics and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/robotics-hs,Fastweb,Scholarship,"Engineering, Computer Science, Robotics",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,40,"High School Robotics and Automation Scholarship Supporting high school students in robotics, automation, and mechatronics. For future robotics engineers and innovators. This Scholarship focuses on Engineering, Computer Science, Robotics and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Engineering, Computer Science, Robotics Scholarship 12-Sep Variable Low Online",True,0.82,True,0.54,False,,Scholarship,Scholarship,"Engineering, Computer Science, Robotics",Computer Science; Engineering; Robotics
High School Environmental Science Scholarship,"For high school students dedicated to environmental conservation and sustainability through scientific study. This Scholarship focuses on Environmental Science, Biology, Chemistry and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/environmental-science-hs,Fastweb,Scholarship,"Environmental Science, Biology, Chemistry",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,38,"High School Environmental Science Scholarship For high school students dedicated to environmental conservation and sustainability through scientific study. This Scholarship focuses on Environmental Science, Biology, Chemistry and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Environmental Science, Biology, Chemistry Scholarship 12-Sep Variable Low Online",True,0.86,True,0.54,False,,Scholarship,Scholarship,"Environmental Science, Biology, Chemistry",Biology; Chemistry; Environmental Science
High School Physics and Astronomy Scholarship,"For high school students pursuing physics or astronomy. Supports theoretical and experimental physics interests. This Scholarship focuses on Physics, Astronomy, Mathematics and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",https://www.fastweb.com/college-scholarships/physics-hs,Fastweb,Scholarship,"Physics, Astronomy, Mathematics",12-Sep,Free,Online,Variable (application),High,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,38,"High School Physics and Astronomy Scholarship For high school students pursuing physics or astronomy. Supports theoretical and experimental physics interests. This Scholarship focuses on Physics, Astronomy, Mathematics and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level. Physics, Astronomy, Mathematics Scholarship 12-Sep High Low Online",True,0.84,True,0.54,False,,Scholarship,Scholarship,"Physics, Astronomy, Mathematics",Astronomy/Space Science; Mathematics; Physics
High School Biomedical Science Scholarship,"Supporting future leaders in biomedical science and medical research. For high school students committed to advancing healthcare through science. This Scholarship focuses on Biology, Chemistry, Biomedical Science and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/biomedical-hs,Fastweb,Scholarship,"Biology, Chemistry, Biomedical Science",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,44,"High School Biomedical Science Scholarship Supporting future leaders in biomedical science and medical research. For high school students committed to advancing healthcare through science. This Scholarship focuses on Biology, Chemistry, Biomedical Science and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Biology, Chemistry, Biomedical Science Scholarship 12-Sep Variable Low Online",True,0.78,True,0.54,False,,Scholarship,Scholarship,"Biology, Chemistry, Biomedical Science",Biology; Biomedical Engineering; Chemistry
High School Chemistry Scholarship,"Scholarship for high school students excelling in chemistry. For students planning chemistry or chemical engineering studies. This Scholarship focuses on Chemistry, Chemical Engineering and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/chemistry-hs,Fastweb,Scholarship,"Chemistry, Chemical Engineering",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,40,"High School Chemistry Scholarship Scholarship for high school students excelling in chemistry. For students planning chemistry or chemical engineering studies. This Scholarship focuses on Chemistry, Chemical Engineering and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Chemistry, Chemical Engineering Scholarship 12-Sep Variable Low Online",True,0.82,True,0.54,False,,Scholarship,Scholarship,"Chemistry, Chemical Engineering",Chemical Engineering; Chemistry
High School Cybersecurity Scholarship,"For high school students interested in cybersecurity and information security. Addresses critical need for cybersecurity professionals. This Scholarship focuses on Computer Science, Cybersecurity, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/cybersecurity-hs,Fastweb,Scholarship,"Computer Science, Cybersecurity, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,41,"High School Cybersecurity Scholarship For high school students interested in cybersecurity and information security. Addresses critical need for cybersecurity professionals. This Scholarship focuses on Computer Science, Cybersecurity, Technology and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Computer Science, Cybersecurity, Technology Scholarship 12-Sep Variable Low Online",True,0.83,True,0.54,False,,Scholarship,Scholarship,"Computer Science, Cybersecurity, Technology",Computer Science; Cybersecurity; Technology
High School Data Science Scholarship,"Supporting high school students in data science and analytics. For future data scientists and analysts. This Scholarship focuses on Computer Science, Mathematics, Data Science and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/data-science-hs,Fastweb,Scholarship,"Computer Science, Mathematics, Data Science",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,41,"High School Data Science Scholarship Supporting high school students in data science and analytics. For future data scientists and analysts. This Scholarship focuses on Computer Science, Mathematics, Data Science and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Computer Science, Mathematics, Data Science Scholarship 12-Sep Variable Low Online",True,0.83,True,0.54,False,,Scholarship,Scholarship,"Computer Science, Mathematics, Data Science",Computer Science; Data Science; Mathematics
High School Aerospace Engineering Scholarship,"For high school students interested in aerospace or aeronautical engineering. Supporting the next generation of aerospace engineers. This Scholarship focuses on Engineering, Physics, Aerospace and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/aerospace-hs,Fastweb,Scholarship,"Engineering, Physics, Aerospace",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,41,"High School Aerospace Engineering Scholarship For high school students interested in aerospace or aeronautical engineering. Supporting the next generation of aerospace engineers. This Scholarship focuses on Engineering, Physics, Aerospace and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Engineering, Physics, Aerospace Scholarship 12-Sep Variable Low Online",True,0.81,True,0.54,False,,Scholarship,Scholarship,"Engineering, Physics, Aerospace",Aerospace Engineering; Engineering; Physics
High School Artificial Intelligence Scholarship,"For high school students specializing in artificial intelligence and machine learning. Supporting AI innovation among young students. This Scholarship focuses on Computer Science, Mathematics, AI and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level.",https://www.fastweb.com/college-scholarships/artificial-intelligence-hs,Fastweb,Scholarship,"Computer Science, Mathematics, AI",12-Sep,Free,Online,Variable (application),High,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,42,"High School Artificial Intelligence Scholarship For high school students specializing in artificial intelligence and machine learning. Supporting AI innovation among young students. This Scholarship focuses on Computer Science, Mathematics, AI and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: High level. Computer Science, Mathematics, AI Scholarship 12-Sep High Low Online",True,0.83,True,0.54,False,,Scholarship,Scholarship,"Computer Science, Mathematics, AI",Artificial Intelligence/Machine Learning; Computer Science; Mathematics
High School Software Engineering Scholarship,"For high school students interested in software engineering and development. Supporting the next generation of software developers. This Scholarship focuses on Computer Science, Software Engineering and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/software-engineering-hs,Fastweb,Scholarship,"Computer Science, Software Engineering",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,42,"High School Software Engineering Scholarship For high school students interested in software engineering and development. Supporting the next generation of software developers. This Scholarship focuses on Computer Science, Software Engineering and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Computer Science, Software Engineering Scholarship 12-Sep Variable Low Online",True,0.83,True,0.54,False,,Scholarship,Scholarship,"Computer Science, Software Engineering",Computer Science
High School Renewable Energy Scholarship,"Supporting high school students committed to sustainable energy solutions. For future leaders in renewable energy. This Scholarship focuses on Engineering, Environmental Science, Physics and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level.",https://www.fastweb.com/college-scholarships/renewable-energy-hs,Fastweb,Scholarship,"Engineering, Environmental Science, Physics",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,Low,True,Varies by scholarship,Low,Free,False,True,True,Medium,True,False,Required,National,Optional,False,,fastweb_stem_scholarships,,40,"High School Renewable Energy Scholarship Supporting high school students committed to sustainable energy solutions. For future leaders in renewable energy. This Scholarship focuses on Engineering, Environmental Science, Physics and serves grade 12-Sep students. The program requires Variable (application) commitment, free, available online. Prerequisites: Variable level. Engineering, Environmental Science, Physics Scholarship 12-Sep Variable Low Online",True,0.81,True,0.54,False,,Scholarship,Scholarship,"Engineering, Environmental Science, Physics",Engineering; Environmental Science; Physics
