file_source,name,description,target_grade,reason_flagged,confidence_level,,Decisions
stanford_precollege_programs.csv,Stanford Pre-Collegiate Business & Entrepreneurship,"Introduction to business principles, entrepreneurship, and innovation. Develop business plans, learn marketing and finance basics, and pitch startup ideas. Guest speakers from Silicon Valley. Team pro",12-Oct,Found: \bcollegiate,LOW,,Keep
stanford_precollege_programs.csv,Stanford Pre-Collegiate Creative Writing,"Writing workshop focusing on fiction, poetry, and creative nonfiction. Small seminar format with peer review and one-on-one feedback. Study craft elements, develop writing voice, and complete portfoli",12-Sep,Found: \bcollegiate; Found: \binstructor,LOW,,
stanford_precollege_programs.csv,Stanford Pre-Collegiate Psychology,"Introduction to psychological science including cognitive psychology, social psychology, and neuroscience. Conduct psychology experiments, analyze data, and explore research methods. Learn from Stanfo",12-Oct,Found: \bcollegiate; Found: \bfaculty,HIGH,,
stanford_precollege_programs.csv,Stanford Pre-Collegiate International Relations,"Exploration of global politics, international law, diplomacy, and world affairs. Model UN simulations, policy debates, and case studies. Meet Stanford faculty from international relations and politica",12-Oct,Found: \bcollegiate; Found: \bfaculty,HIGH,,
stanford_precollege_programs.csv,Academic Enrichment Programs,Academic Enrichment ProgramsOur programs provide pre-collegiate students from the U.S. and around the world the chance to explore their passions and dive deep into a single topic beyond what is typica,12-Sep,Found: \bcollegiate,LOW,,
swe_k12_programs.csv,SWE Emerging First Year Scholars Scholarship,Scholarship for high school seniors entering first year of undergraduate engineering studies. Part of SWE $1+ million annual scholarship program. Competitive application process through SWE online por,12,Found: \bundergraduate,MEDIUM,,Keep
swe_k12_programs.csv,SWE Career Guidance for Young Women,"Career counseling and guidance program connecting students with women engineers. Learn about engineering career pathways, college preparation, and professional development. Virtual mentoring sessions ",12-Sep,Found: \bprofessional development,MEDIUM,,Keep
swe_k12_programs.csv,Let SWE Help Fund Your College Education,"For 65 years, SWE scholarships have empowered students pursuing undergraduate and graduate degrees in engineering, engineering technology, and related fields. Open to students entering their first yea",12-Sep,Found: \bundergraduate; Found: \bgraduate student,HIGH,,
university_splash_programs.csv,MIT Splash,"Weekend educational program at MIT where college students teach classes to middle and high school students. Hundreds of classes covering math, science, humanities, and arts. Students choose from diver",12-Jul,Found: \bcollege student,MEDIUM,,Keep
university_splash_programs.csv,Cornell Splash,"Educational enrichment program at Cornell University where undergraduates teach mini-courses to high school students. Wide variety of classes in science, math, engineering, humanities, and arts. Stude",12-Sep,Found: \bcollege student; Found: \bundergraduate,MEDIUM,,Keep
university_splash_programs.csv,Columbia Splash,Educational day program at Columbia University featuring classes taught by college students. High school students explore topics beyond standard curriculum through interactive seminars and workshops. ,12-Sep,Found: \bcollege student,MEDIUM,,Keep
university_splash_programs.csv,UCLA Splash,"Day-long educational program at UCLA where undergraduate students teach mini-courses to local middle and high school students. Classes cover diverse academic subjects including STEM, social sciences, ",12-Jun,Found: \bundergraduate,HIGH,,Keep
university_splash_programs.csv,Harvard HSSP (High School Studies Program),Weekend program at Harvard University similar to Splash format. College students teach classes to middle and high school students on diverse academic topics. Students experience Harvard campus and lea,12-Jul,Found: \bcollege student; Found: \bundergraduate; Found: \binstructor,MEDIUM,,Keep
university_splash_programs.csv,Duke Splash,"Day program at Duke University with student-taught classes for local middle and high school students. Wide variety of subjects including STEM, social sciences, and arts. Interactive learning environme",12-Jun,Found: \bundergraduate,HIGH,,Keep
university_splash_programs.csv,Princeton Splash,"Educational outreach program at Princeton University featuring undergraduate-taught classes. High school students attend seminars on topics not typically covered in school. Small, discussion-based cla",12-Sep,Found: \bundergraduate,MEDIUM,,Keep
usabo_programs.csv,Biology Olympiad Training Camp,"Intensive two-week residential training for USABO National Finals participants. Advanced biology lectures from leading professors and researchers. Hands-on laboratory work in molecular biology, physio",12-Sep,Found: \bprofessor,HIGH,,Keep
usabo_programs.csv,USABO School Registration,High schools register to participate in USABO competition. Registration includes access to all exam materials and resources. Schools coordinate local administration of Open Exam. Teacher training mate,12-Sep,Found: \bteacher,LOW,,Keep
usabo_programs.csv,USABO Study Groups and Preparation Courses,"Student-organized and teacher-led study groups for USABO preparation. Regular meetings to review biology topics, practice problems, and mock exams. Peer learning and collaborative study. Many schools ",12-Sep,Found: \bteacher,LOW,,Keep
wolfram_programs.csv,Wolfram Language for Students,"Free access to Wolfram Language and Mathematica for high school and college students. Powerful computational tools for mathematics, science, and programming. Includes tutorials, documentation, and exa",12-Sep,Found: \bcollege student,MEDIUM,,Keep
aops.csv,AoPS Prealgebra,"Rigorous prealgebra course covering number theory, proportions, geometry basics, and problem-solving strategies. Live online classes with expert instructors for grades 6-8.",8-Jun,Found: \binstructor,LOW,,Keep
aops.csv,AoPS Math Jams,"Free live online math problem-solving sessions with expert instructors. Explore interesting problems, discuss solutions, and connect with math enthusiasts.",12-Jun,Found: \binstructor,LOW,,Keep
broadcom_masters.csv,Broadcom MASTERS Competition,Premier national STEM competition for middle school students grades 6-8. Top 30 finalists compete in Washington DC for scholarships and awards. Must qualify through affiliated science fair.,8-Jun,Found: \bmaster\'?s,LOW,,Keep
broadcom_masters.csv,Broadcom MASTERS - Science Fair Qualification,Students must first compete in affiliated science fair to be nominated for MASTERS. Complete independent research project and present at local/regional science fair. Top projects nominated by fair dir,8-Jun,Found: \bmaster\'?s,LOW,,Keep
broadcom_masters.csv,Broadcom MASTERS - Finals Competition,"Top 30 finalists travel to Washington DC for week-long STEM competition. Team and individual challenges testing critical thinking, collaboration, communication, and creativity. $25,000 top prize.",8-Jun,Found: \bmaster\'?s,LOW,,Keep
broadcom_masters.csv,Broadcom MASTERS - Samueli Foundation Prize,Special award for engineering projects in MASTERS competition. Recognizes outstanding middle school engineering research. Additional prize and recognition for finalists.,8-Jun,Found: \bmaster\'?s,LOW,,Keep
broadcom_masters.csv,Broadcom MASTERS - Rising Stars Awards,"Recognition program for MASTERS alumni continuing in STEM. Awards for high school achievements in science, research, and innovation. College scholarships and mentorship.",8-Jun,Found: \bmaster\'?s,MEDIUM,,Keep
broadcom_masters.csv,Broadcom MASTERS - Application Process,"Online application for nominated students. Submit essays, video, and science fair project documentation. Selection based on research, communication skills, and STEM passion.",8-Jun,Found: \bmaster\'?s,LOW,,Keep
broadcom_masters.csv,Broadcom MASTERS - STEM Mentorship Network,"Access to STEM professionals and scientists for finalists and alumni. Ongoing mentorship, career guidance, and networking opportunities. Connect with industry leaders.",8-Jun,Found: \bmaster\'?s,LOW,,
codecombat.csv,CodeCombat Classroom Edition,"Teacher-facilitated coding curriculum with classroom management tools. Includes progress tracking, lesson plans, and assessment features for educators teaching programming.",12-Jun,Found: \beducator; Found: \bteacher,LOW,,
codecombat_progress.csv,CodeCombat - Classroom Edition,Classroom integration with teacher dashboards; track student progress; assignments and assessments; curriculum alignment; professional development resources.,12-Jun,Found: \bteacher; Found: \bprofessional development,LOW,,
code_ninjas.csv,Code Ninjas Birthday Parties,"Coding-themed birthday parties for kids. Custom game building, robotics, or themed coding activities. Instructor-led party with all materials included.",K-8,Found: \binstructor,LOW,,Keep
code_ninjas.csv,Code Ninjas BUILD Program - App Development,Advanced program for teens learning mobile app development. Build iOS and Android apps. Professional development skills and portfolio creation.,8-Jul,Found: \bprofessional development,LOW,,
code_ninjas.csv,Code Ninjas School Partnerships,In-school coding programs and after-school clubs. Bring Code Ninjas curriculum to schools. Teacher training and student coding education.,K-8,Found: \bteacher,LOW,,
cyberstart_america.csv,CyberStart America - Teacher Support Program,"Resources for educators to integrate cybersecurity into curriculum. Professional development, lesson plans, and classroom management tools. Free teacher training.",12-Sep,Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,
discovere_programs.csv,Future City Competition,"Middle school engineering competition where students design cities of the future. Teams work with educator and engineer mentors to plan, design, and build virtual and physical models using SimCity sof",8-Jun,Found: \beducator,LOW,,Keep
discovere_programs.csv,Engineering Tomorrow's Teachers,"Professional development program preparing K-12 teachers to integrate engineering concepts into their curriculum. Includes training, resources, and ongoing support.",K-12,Found: \bteacher; Found: \bprofessional development,LOW,,
discovere_programs.csv,DiscoverE Engineering Resources,"Free online engineering activities, lesson plans, and resources for K-12 educators. Includes hands-on projects, career information, and classroom activities.",K-12,Found: \beducator,LOW,,
discovere_programs.csv,Engineering Challenges for Classrooms,"Structured engineering design challenges for K-12 classrooms. Teacher guides, student worksheets, and materials lists for hands-on engineering projects.",K-12,Found: \bteacher,LOW,,
discovere_programs.csv,Dream Big Educator Resources,"Curriculum and activities based on Dream Big engineering film. Lesson plans, activities, and resources for teaching engineering concepts.",K-12,Found: \beducator,LOW,,
discovere_programs.csv,Future City Teacher Workshop,"Professional development workshop for teachers leading Future City teams. Training on competition requirements, engineering mentorship, and classroom integration.",8-Jun,Found: \bteacher; Found: \bprofessional development,LOW,,
engineering_for_kids.csv,Engineering For Kids - After-School Enrichment Program,"Weekly after-school engineering classes for elementary students. Hands-on projects in robotics, structures, aerospace, and more. Small class sizes with certified instructors.",K-5,Found: \binstructor,LOW,,
engineering_for_kids.csv,Engineering For Kids - Birthday Party Program,"Engineering-themed birthday parties with hands-on projects. Choose from robotics, rocketry, structures, or other themes. Instructor-led activities for groups.",K-8,Found: \binstructor,LOW,,
engineering_for_kids.csv,Engineering For Kids - In-School Field Trips,Bring engineering to your school. Instructors visit schools to deliver hands-on engineering lessons aligned with curriculum standards.,K-8,Found: \binstructor,LOW,,
kidztopros_progress.csv,KidzToPros - Summer STEM Camps,"Week-long summer STEM camps covering coding, robotics, engineering, and technology; hands-on projects; expert instructors; various locations.",K-12,Found: \binstructor,LOW,,Keep
kidztopros_progress.csv,KidzToPros - Coding and Programming Camps,"Learn coding through game development and app creation; Python, JavaScript, Scratch programming; age-appropriate curriculum; build projects; expert instructors; hands-on learning; portfolio developmen",K-12,Found: \binstructor,LOW,,Keep
mathnasium.csv,Mathnasium@Home - Online Math Tutoring,Live online math tutoring with same personalized instruction as in-center. Face-to-face sessions with qualified instructors via video. Flexible scheduling from home.,K-12,Found: \binstructor,LOW,,Keep
ncssm_online_progress.csv,NCSSM Online - Advanced Mathematics,"College-level mathematics courses including multivariable calculus, linear algebra, differential equations, statistics, and discrete mathematics; synchronous and asynchronous instruction; college cred",12-Oct,Found: \bfaculty,HIGH,,Keep
ncssm_online_progress.csv,NCSSM Online - Advanced Sciences,"Advanced science courses beyond AP level including astrophysics, organic chemistry, molecular biology, and environmental science; virtual labs and simulations; research opportunities; college-level ri",12-Oct,Found: \bfaculty,HIGH,,Keep
niche_stem_scholarships.csv,"Niche $50,000 Scholarship","No essay required! Monthly scholarship drawing for $50,000 awarded to one high school or college student. Simply create a free Niche profile to enter.",12-Sep,Found: \bcollege student,MEDIUM,,
niche_stem_scholarships.csv,"Niche $2,000 No Essay Scholarship","Monthly $2,000 scholarship with no essay required. Open to high school and college students. Winners selected through monthly drawings.",12-Sep,Found: \bcollege student,MEDIUM,,
niche_stem_scholarships.csv,"First Generation STEM Scholar - $8,000",Scholarship for first-generation college students pursuing STEM fields. Essay on being first in family to attend college required.,12-Nov,Found: \bcollege student,MEDIUM,,Keep
pathways_to_science.csv,SSTP - Secondary Student Training Program at University of Iowa,"Research-based program where high school students conduct independent research projects under faculty mentorship. Includes coursework, lab work, and final presentations.",12-Nov,Found: \bfaculty,HIGH,,Keep
pathways_to_science.csv,UCONN Mentor Connection High School Research Program,Academic year research mentorship program connecting high school students with university faculty. Students design and conduct independent research projects.,12-Oct,Found: \bfaculty,HIGH,,Keep
pathways_to_science.csv,Clark Scholars Program at Texas Tech,Seven-week intensive research program where high school students work one-on-one with faculty mentors on original research projects across STEM disciplines.,12-Nov,Found: \bfaculty,HIGH,,Keep
pathways_to_science.csv,Fermilab TARGET - Teachers and Researchers Generating Excitement for Technology,"Two-week summer program introducing high school students to particle physics through hands-on activities, lectures, and lab tours at Fermilab.",12-Oct,Found: \bteacher,LOW,,Keep
pathways_to_science.csv,Simons Summer Research Program,Seven-week research program at Stony Brook University where high school students work on independent projects with faculty mentors in STEM fields.,12-Nov,Found: \bfaculty,HIGH,,
prodigy_math.csv,Prodigy Math - Teacher Tools,"Free teacher dashboard for classroom use. Assign specific math skills, create assessments, track student progress, and differentiate instruction. Standards-aligned reports.",8-Jan,Found: \bteacher,LOW,,
prodigy_math.csv,Prodigy Math - Home Practice Tool,Self-directed math practice at home with engaging gameplay. No teacher assignment needed. Students practice grade-level appropriate math skills independently.,8-Jan,Found: \bteacher,LOW,,
sphero_education.csv,Sphero STEAM Lesson Library,"Library of cross-curricular STEAM lessons using Sphero robots. Math, science, art, and social studies integration. Teacher guides and student worksheets.",K-12,Found: \bteacher,LOW,,
sphero_education.csv,Sphero Teacher Training and Certification,"Free professional development for educators. Learn to integrate Sphero robots into curriculum. Best practices, classroom management, and lesson planning.",K-12,Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,
sphero_education.csv,Sphero Community Projects and Sharing,Online community for sharing Sphero projects and programs. Learn from other educators and students. Collaborative coding and project galleries.,K-12,Found: \beducator,LOW,,
sphero_education.csv,Sphero At-Home Learning Activities,Activities designed for home learning and parent engagement. No teacher required. Self-guided lessons for families learning together.,K-12,Found: \bteacher,LOW,,
sphero_education.csv,Sphero Parent and Educator Resources,"Guides for parents and educators new to robotics. Setup instructions, activity ideas, troubleshooting, and learning progression recommendations.",K-12,Found: \beducator,LOW,,
stemfinity.csv,STEMfinity Teacher Curriculum Guides,"Comprehensive curriculum guides for K-12 STEM teachers. Lesson plans, standards alignment, assessment tools, and classroom management strategies.",K-12,Found: \bteacher,LOW,,
stem_video_game_challenge.csv,STEM Challenge Educator Workshop,Professional development for teachers incorporating game design into STEM curriculum. Learn how to guide students through the competition and integrate game-based learning.,K-12,Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,
tynker.csv,Tynker Coding for Educators,"Comprehensive classroom curriculum and resources for teachers. Includes lesson plans, assessment tools, and student progress tracking for K-12 coding education.",K-12,Found: \beducator; Found: \bteacher,LOW,,
tynker.csv,Tynker Summer Coding Camp - Python,"Intensive week-long Python programming camp for beginners and intermediate students. Build projects, learn syntax, and develop problem-solving skills with live instructors.",12-Jun,Found: \binstructor,LOW,,Keep
tynker.csv,Tynker Summer Coding Camp - Mobile Apps,"Design and develop mobile applications in this week-long intensive camp. Learn UI design, app logic, and deployment with experienced instructors.",12-Jun,Found: \binstructor,LOW,,Keep
youth_robotics.csv,RobotLAB Classroom Robotics,"Turn-key robotics curriculum for schools. Complete lesson plans, robotics kits, and teacher training for implementing robotics education in K-12 classrooms.",K-12,Found: \bteacher,LOW,,
youth_robotics.csv,FIRST LEGO League Classroom Program,"Curriculum integration version of FLL for schools. Teachers implement LEGO robotics challenges within regular class time, no competition required.",8-Apr,Found: \bteacher,LOW,,
zearn_math.csv,Zearn Math - Teacher Dashboard,"Free teacher tools for monitoring student progress, assigning lessons, and tracking mastery. Data-driven insights to support differentiated instruction in math.",K-8,Found: \bteacher,LOW,,
astronaut_scholarship.csv,Astronaut Scholarship Foundation - Undergraduate STEM Scholarship,"$15,000 scholarship for outstanding college sophomores and juniors pursuing degrees in STEM fields. Established by Mercury 7 astronauts to support future leaders in science and technology. Recipients ",College Sophomore-Junior,Found: \bundergraduate; Found: \bcollege sophomore,MEDIUM,,
astronaut_scholarship.csv,Astronaut Scholarship Foundation - First Generation Space Scholar Award,"$2,500 scholarship for first-generation college students planning to major in aerospace or related STEM fields. Includes connection to mentor network and college transition support.",12,Found: \bcollege student,MEDIUM,,Keep
biomedical_research_hs.csv,Stanford Medicine - Summer Research Program for High School Students,Intensive 8-week biomedical research program where high school students work in Stanford Medical School laboratories. Students conduct independent research projects under faculty mentorship and presen,12-Nov,Found: \bfaculty,HIGH,,Keep
biomedical_research_hs.csv,Emory University School of Medicine - SURE Program for HS,"Summer Undergraduate Research Experience adapted for exceptional high school students at Emory. Students conduct biomedical research in areas like infectious diseases, neuroscience, and health dispari",12-Nov,Found: \bundergraduate,MEDIUM,,Keep
biomedical_research_hs.csv,Columbia University Irving Medical Center - HS Summer Research,"Biomedical research program at Columbia Medical School for New York area high school students. Interns work alongside faculty on research in genetics, neuroscience, cardiovascular disease, and cancer ",12-Nov,Found: \bfaculty,HIGH,,Keep
boeing_student_programs.csv,Boeing Teacher Professional Development,Professional development program for educators to learn aerospace concepts and teaching methods. Teachers receive Boeing curriculum materials and ongoing support to implement STEM programs.,Educators,Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,
boldorg_stem.csv,Bold.org - Future Black Tech Leaders Scholarship,"$1,000-$10,000 scholarship specifically for Black high school students pursuing computer science, software engineering, or technology fields. Must demonstrate academic achievement (minimum 3.0 GPA) an",12-Sep,Found: \bcollege student,MEDIUM,,Keep
boldorg_stem.csv,Bold.org - Future Engineers Scholarship,"$500-$5,000 scholarship for high school students pursuing engineering degrees. All engineering disciplines eligible including mechanical, electrical, civil, chemical, and biomedical. Essay describing ",12-Oct,Found: \bcollege student,MEDIUM,,Keep
boldorg_stem.csv,Bold.org - Women in Mathematics Award,"$1,000-$5,000 scholarship for female students pursuing mathematics education or careers. Addressing gender gap in mathematics fields. Essay about mathematical passion and how you will inspire other gi",12-Sep,Found: \bteacher,LOW,,Keep
boldorg_stem.csv,Bold.org - Black Excellence in STEM Scholarship,"$2,000-$10,000 scholarship specifically for Black students pursuing any STEM field. Recognizing and supporting Black excellence in science, technology, engineering, and mathematics. Essay about your S",12-Sep,Found: \bcollege student,MEDIUM,,Keep
boldorg_stem.csv,Bold.org - First-Generation STEM Scholars,"$1,000-$7,500 scholarship for first-generation college students pursuing any STEM degree. Open to students whose parents did not complete four-year college degree. Essay about challenges of being firs",12-Sep,Found: \bcollege student,MEDIUM,,Keep
byjus_future_school.csv,BYJU'S Future School - Coding for Beginners (Ages 6-8),"Introduction to coding through visual programming and storytelling. One-on-one live classes teaching Scratch basics, game creation, and logical thinking. Build first coding projects with personalized ",3-Jan,Found: \bteacher,LOW,,Keep
byjus_future_school.csv,BYJU'S Future School - Calculus and Advanced Topics (Ages 14-18),"High school calculus, statistics, and college-prep mathematics. AP exam preparation, advanced problem-solving, and mathematical rigor. One-on-one instruction with expert teachers.",12-Sep,Found: \bteacher,MEDIUM,,Keep
byjus_future_school.csv,BYJU'S Future School - Free Trial Classes,Free trial classes to experience one-on-one learning approach. Sample coding or math class with certified teacher. No commitment required to try platform.,K-12,Found: \bteacher,LOW,,Keep
cappex_stem.csv,Cappex - First Generation STEM Student Scholarship,"$4,500 scholarship for first-generation college students pursuing STEM degrees. Must demonstrate financial need and academic potential. Essay on challenges and goals as first-gen student required.",12-Oct,Found: \bcollege student,MEDIUM,,Keep
chegg_stem.csv,Chegg - First Generation STEM Scholarship,"$5,000 scholarship specifically for first-generation college students pursuing STEM degrees. Must demonstrate financial need and academic achievement. Essay required on challenges and aspirations as f",12-Sep,Found: \bcollege student,MEDIUM,,Keep
cmu_robotics_academy.csv,CMU Robotics Academy - VEX V5 Curriculum,"High school VEX V5 robotics curriculum with advanced C++ programming. Design, build, and program competitive robots. Free comprehensive curriculum with teacher guides and student workbooks.",12-Sep,Found: \bteacher,LOW,,Keep
cmu_robotics_academy.csv,CMU Robotics Academy - Robotics Engineering 2,"Advanced robotics engineering with kinematics, dynamics, path planning, and computer vision. Design complex autonomous systems. Prepares students for collegiate-level robotics.",12-Oct,Found: \bcollegiate,LOW,,Keep
cmu_robotics_academy.csv,CMU Robotics Academy - Teacher Professional Development,"Free professional development for educators teaching robotics and computer science. Online and in-person training, curriculum implementation support, and ongoing educator community.",K-12,Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,
coding_rooms.csv,Coding Rooms - Python Fundamentals (Middle School),"Comprehensive Python course for middle school students. Cover variables, data types, conditionals, loops, functions, lists, and dictionaries. Hands-on projects with real-time collaboration and teacher",8-Jun,Found: \bteacher,LOW,,
coding_rooms.csv,Coding Rooms - Teacher Dashboard and Classroom Management,"Comprehensive teacher tools for managing coding classrooms. Real-time student monitoring, automated grading, assignment creation, progress tracking, and classroom analytics. Free for educators.",K-12,Found: \beducator; Found: \bteacher,LOW,,
coolmath_games.csv,Coolmath Games - Classroom Integration Resources,"Teacher resources and guides for integrating Coolmath Games into classroom instruction. Free educational gaming as brain breaks, rewards, or supplemental learning activities.",K-12,Found: \bteacher,LOW,,
cty_programs_combined.csv,Online Programs,"The Johns Hopkins Center for Talented Youth’s online programs are designed to challenge and inspire academically advanced students, providing opportunities to explore beyond their traditional school c",12-Feb,Found: \binstructor,LOW,,Keep
cty_programs_combined.csv,On-Campus Summer Programs,Just because school is out for summer doesn’t mean the learning stops. The Johns Hopkins Center for Talented Youth is more than a summer camp: Our on-campus summer courses bring together advanced lear,12-Feb,Found: \binstructor,LOW,,Keep
engineering_summer_camps.csv,MIT Engineering Summer Camp for High School,"Intensive 4-week residential program at MIT for high school students. Hands-on engineering projects in electrical, mechanical, and computer engineering. Work with MIT students and faculty on real engi",12-Oct,Found: \bfaculty,HIGH,,Keep
engineering_summer_camps.csv,Stanford Pre-Collegiate Summer Engineering Academy,"Three-week residential program introducing high school students to engineering disciplines. Design projects, lab work, campus tours, and college prep. Led by Stanford faculty and graduate students.",11-Sep,Found: \bgraduate student; Found: \bcollegiate; Found: \bfaculty,HIGH,,Keep
engineering_summer_camps.csv,NASA Engineering Design Challenge Camps,"Week-long camps at NASA visitor centers focusing on aerospace engineering. Design and test models, learn about space missions. Led by NASA educators and engineers.",12-Jun,Found: \beducator,LOW,,Keep
engineering_summer_camps.csv,Rose-Hulman Operation Catapult,Three-week residential engineering research program for rising seniors. Students conduct real engineering research with faculty mentors. Intensive hands-on experience.,12-Nov,Found: \bfaculty,HIGH,,Keep
epa_education_programs.csv,EPA Student Environmental Internships,Summer internship opportunities for high school and college students to work with EPA scientists and environmental professionals on real-world environmental projects.,12-Nov,Found: \bcollege student,MEDIUM,,Keep
first_lego_league.csv,FIRST LEGO League Classroom Edition,Curriculum-based version of FIRST LEGO League for in-school implementation. Structured lesson plans aligned to education standards. Teachers guide students through season challenges during class time.,8-Apr,Found: \bteacher,LOW,,
garcia_scholars.csv,Garcia Research Scholars Program - Summer Research,"Intensive 7-week summer research program at Stony Brook University for high school students. Work one-on-one with faculty mentors conducting authentic scientific research in biology, chemistry, physic",12-Sep,Found: \bfaculty,HIGH,,Keep
garcia_scholars.csv,Garcia Research Scholars - Academic Year Extension,"Continuation of summer research during academic year for Garcia Scholars. Students continue working with faculty mentors part-time while attending high school. Develop research further, prepare for co",12-Sep,Found: \bfaculty,HIGH,,Keep
garcia_scholars.csv,Garcia Research Scholars - Biology and Life Sciences Track,"Research opportunities in molecular biology, genetics, neuroscience, ecology, or biomedical sciences. Work in university laboratories using advanced equipment and techniques. Learn experimental design",12-Sep,Found: \bfaculty,HIGH,,Keep
garcia_scholars.csv,Garcia Research Scholars - Research Symposium and Competitions,"End-of-summer research symposium where Garcia Scholars present findings to faculty, peers, and families. Develop scientific posters and oral presentations. Support for entering research competitions i",12-Sep,Found: \bfaculty,HIGH,,Keep
garcia_scholars.csv,Garcia Research Scholars - College Application Support,"Guidance leveraging Garcia research experience for college applications. Help framing research in personal statements, supplemental essays, and activity lists. Recommendation letters from faculty ment",12-Nov,Found: \bfaculty,HIGH,,Keep
girls_who_code_programs.csv,Girls Who Code Facilitator Program,"Training and support program for educators and volunteers to lead Girls Who Code clubs and activities, including curriculum resources and professional development.",12-Jun,Found: \beducator; Found: \bprofessional development,LOW,,
hopscotch_coding.csv,Hopscotch - Educator Dashboard,"Free classroom management tools for teachers. Create class codes, monitor student progress, view projects, and access curriculum-aligned lesson plans. Support K-8 computer science education.",8-Apr,Found: \beducator; Found: \bteacher,LOW,,
hopscotch_coding.csv,Hopscotch - Classroom Lesson Plans,"Free downloadable lesson plans aligned to CSTA standards. Step-by-step coding activities, project rubrics, and assessment tools. Support educators teaching grades 4-8 computer science.",8-Apr,Found: \beducator,LOW,,
intel_science_fair_programs.csv,"Broadcom MASTERS (Math, Applied Science, Technology and Engineering for Rising Stars)","National middle school science and engineering competition recognizing excellence in project-based learning, critical thinking, communication, and collaboration among 6th, 7th, and 8th grade students.",8-Jun,Found: \bmaster\'?s,LOW,,Keep
intel_science_fair_programs.csv,Science Fair Research Mentor Training,Professional development program for teachers and mentors to effectively guide students through independent research projects and science fair competition preparation.,12-Jun,Found: \bteacher; Found: \bprofessional development,LOW,,
ixl_learning.csv,IXL Analytics - Student Progress Tracking,"Comprehensive analytics dashboard tracking student progress, skill mastery, time spent, and areas needing improvement. Real-time insights for parents and teachers. Included with subscription.",K-12,Found: \bteacher,LOW,,Keep
jkc_foundation_programs.csv,Jack Kent Cooke College Scholarship,"Highly selective scholarship for high-achieving high school seniors with financial need. Covers up to $40,000 per year for undergraduate study at accredited four-year institutions. Includes comprehens",12,Found: \bundergraduate,MEDIUM,,
jkc_foundation_programs.csv,Jack Kent Cooke Undergraduate Transfer Scholarship,"Prestigious scholarship for community college students transferring to four-year institutions. Supports high-achieving students with significant financial need. Provides up to $40,000 per year and com",College,Found: \bcollege student; Found: \bundergraduate,MEDIUM,,
jkc_foundation_programs.csv,Jack Kent Cooke Graduate Arts Award,"Support for graduate students pursuing MFA degrees in creative writing, theater, or visual arts. Recognizes exceptional artistic talent and financial need. Provides funding for graduate study at accre",Graduate,Found: \bgraduate student,HIGH,,
mathcounts_programs.csv,MATHCOUNTS Trainer Program,Professional development program for educators to become certified MATHCOUNTS trainers. Learn coaching strategies and competition preparation techniques.,8-Jun,Found: \beducator; Found: \bprofessional development,LOW,,
mit_app_inventor_programs.csv,MIT App Inventor Master Trainer Course,Comprehensive professional development course for educators to learn App Inventor and integrate mobile app development into their curriculum. Includes pedagogy and assessment strategies.,12-Jun,Found: \beducator; Found: \bprofessional development,LOW,,
mystery_science.csv,Mystery Science - School Subscription,"Full-access subscription for schools providing complete K-5 science curriculum. Teacher guides, assessments, and additional resources. Professional development support. NGSS-aligned comprehensive prog",K-5,Found: \bteacher; Found: \bprofessional development,LOW,,
nasa_programs_combined.csv,NASA Launches 2026 Lunabotics Challenge,"As college students across the country embark upon the academic year, NASA is giving them something else to look forward to – the agency’s 2026 Lunabotics Challenge. Teams interested in participating ",12-Jun,Found: \bcollege student,MEDIUM,,
national_merit_programs.csv,Corporate-Sponsored Merit Scholarships,Business and corporate sponsors provide scholarships for children of employees or students in specific geographic regions. Awards may be renewable for four years of undergraduate study.,12-Nov,Found: \bundergraduate,MEDIUM,,
nih_student_programs.csv,NIH Summer Internship Program (SIP),Competitive 8-10 week summer research internship for high school and college students to conduct biomedical research alongside NIH scientists. Students work in laboratories across all NIH institutes a,12-Nov,Found: \bcollege student,MEDIUM,,Keep
nih_student_programs.csv,NIH Undergraduate Scholarship Program,Scholarship program for undergraduate students from disadvantaged backgrounds committed to careers in biomedical research. Includes summer research at NIH.,College,Found: \bundergraduate,HIGH,,
nih_student_programs.csv,National Institute of Mental Health Research Training,Research training opportunities in mental health and neuroscience for high school and undergraduate students. Focus on brain research and behavioral sciences.,12-Nov,Found: \bundergraduate,HIGH,,Keep
noaa_education_programs.csv,NOAA Student Internship Program,"Summer internship opportunities for high school and college students to work with NOAA scientists on research projects in ocean, climate, weather, and environmental science fields.",12-Nov,Found: \bcollege student,MEDIUM,,Keep
noaa_education_programs.csv,NOAA Climate.gov Educational Resources,"Comprehensive climate science education materials, data tools, and curriculum resources for K-12 students and educators focused on climate change and variability.",K-12,Found: \beducator,LOW,,
noaa_education_programs.csv,NOAA Teacher at Sea Program,"Professional development program for educators to join NOAA research expeditions, gaining hands-on experience in ocean and atmospheric science research.",K-12,Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,
